image_id,donor_id,timestep,correct_mse,wrong_mse,delta,prediction_difference_rms
70126,26393,50,0.550166666507721,0.5539301633834839,0.0037634968757629395,0.05718563124537468
70126,26393,200,0.28279629349708557,0.2912644147872925,0.00846812129020691,0.07918422669172287
70126,26393,500,0.08564887940883636,0.09019637107849121,0.004547491669654846,0.06883878260850906
70126,26393,800,0.01581539958715439,0.016752513125538826,0.0009371135383844376,0.02837895043194294
70126,26393,950,0.004218551330268383,0.004117720294743776,-0.0001008310355246067,0.015437019057571888
26393,33748,50,0.4781377613544464,0.48547208309173584,0.007334321737289429,0.07834582775831223
26393,33748,200,0.261551171541214,0.2728455066680908,0.011294335126876831,0.09595456719398499
26393,33748,500,0.09130772203207016,0.0970030277967453,0.00569530576467514,0.07995547354221344
26393,33748,800,0.015785744413733482,0.0175109151750803,0.001725170761346817,0.03933335095643997
26393,33748,950,0.004447638988494873,0.0048018270172178745,0.0003541880287230015,0.020087050274014473
33748,57293,50,0.5378915667533875,0.5457695722579956,0.007878005504608154,0.1028473898768425
33748,57293,200,0.28808465600013733,0.306695818901062,0.018611162900924683,0.12748406827449799
33748,57293,500,0.09515702724456787,0.10745075345039368,0.012293726205825806,0.10414312779903412
33748,57293,800,0.01575520634651184,0.01790861040353775,0.0021534040570259094,0.04056970775127411
33748,57293,950,0.003919960930943489,0.004758603870868683,0.0008386429399251938,0.023485662415623665
57293,20217,50,0.5079162120819092,0.5133011937141418,0.005384981632232666,0.08344407379627228
57293,20217,200,0.3180241584777832,0.32588768005371094,0.007863521575927734,0.09220366925001144
57293,20217,500,0.12353433668613434,0.12801308929920197,0.004478752613067627,0.06758243590593338
57293,20217,800,0.017512351274490356,0.017873886972665787,0.0003615356981754303,0.01847398467361927
57293,20217,950,0.004147022496908903,0.004297168925404549,0.00015014642849564552,0.010076237842440605
20217,15879,50,0.5841686725616455,0.5870833396911621,0.0029146671295166016,0.06043444573879242
20217,15879,200,0.3194628357887268,0.3246939778327942,0.005231142044067383,0.0679786279797554
20217,15879,500,0.1015554666519165,0.10398995876312256,0.0024344921112060547,0.057756733149290085
20217,15879,800,0.01698574423789978,0.017575649544596672,0.0005899053066968918,0.032601770013570786
20217,15879,950,0.004620660562068224,0.00465931324288249,3.8652680814266205e-05,0.013363426551222801
15879,69036,50,0.502101719379425,0.5076245069503784,0.005522787570953369,0.08343818038702011
15879,69036,200,0.2855720818042755,0.29598379135131836,0.010411709547042847,0.10008708387613297
15879,69036,500,0.11723701655864716,0.11933590471744537,0.0020988881587982178,0.07801996916532516
15879,69036,800,0.02233918011188507,0.023142406716942787,0.0008032266050577164,0.0371842086315155
15879,69036,950,0.0055377609096467495,0.005802711471915245,0.00026495056226849556,0.022343482822179794
69036,3625,50,0.5055027604103088,0.5097960233688354,0.004293262958526611,0.06810173392295837
69036,3625,200,0.2622157335281372,0.26812678575515747,0.005911052227020264,0.07737289369106293
69036,3625,500,0.07795940339565277,0.08351296186447144,0.0055535584688186646,0.0817723274230957
69036,3625,800,0.012839064933359623,0.013694614171981812,0.0008555492386221886,0.029668737202882767
69036,3625,950,0.0035814442671835423,0.0037293508648872375,0.0001479065977036953,0.014425965957343578
3625,23696,50,0.5251712799072266,0.5320937633514404,0.006922483444213867,0.09330490976572037
3625,23696,200,0.3165269196033478,0.32675305008888245,0.010226130485534668,0.10232283920049667
3625,23696,500,0.12127523124217987,0.12761043012142181,0.006335198879241943,0.08415583521127701
3625,23696,800,0.021502017974853516,0.021884340792894363,0.0003823228180408478,0.028076093643903732
3625,23696,950,0.005463054403662682,0.00610865605995059,0.0006456016562879086,0.02327915094792843
23696,44010,50,0.4893863797187805,0.49105504155158997,0.0016686618328094482,0.07377760112285614
23696,44010,200,0.2521737515926361,0.25942909717559814,0.007255345582962036,0.09018409997224808
23696,44010,500,0.08837892860174179,0.09554693102836609,0.007168002426624298,0.07834295928478241
23696,44010,800,0.013797963038086891,0.014447917230427265,0.000649954192340374,0.02292224019765854
23696,44010,950,0.0033797812648117542,0.003718299325555563,0.00033851806074380875,0.014335363171994686
44010,21652,50,0.46881693601608276,0.47107160091400146,0.002254664897918701,0.07017365843057632
44010,21652,200,0.24666351079940796,0.2512616515159607,0.004598140716552734,0.07978324592113495
44010,21652,500,0.08902876079082489,0.09439563751220703,0.005366876721382141,0.08295734226703644
44010,21652,800,0.0161666888743639,0.01675157994031906,0.000584891065955162,0.022163640707731247
44010,21652,950,0.003953953273594379,0.004085017368197441,0.00013106409460306168,0.010763232596218586
21652,6970,50,0.3798084557056427,0.38427144289016724,0.004462987184524536,0.07448278367519379
21652,6970,200,0.2093905359506607,0.21670451760292053,0.007313981652259827,0.08172609657049179
21652,6970,500,0.09178951382637024,0.09543029963970184,0.003640785813331604,0.08177325874567032
21652,6970,800,0.017994388937950134,0.018286902457475662,0.00029251351952552795,0.02619261108338833
21652,6970,950,0.004874261096119881,0.004912931472063065,3.86703759431839e-05,0.01082445215433836
6970,35190,50,0.3861968517303467,0.38870614767074585,0.00250929594039917,0.06171812117099762
6970,35190,200,0.16493304073810577,0.16814929246902466,0.0032162517309188843,0.06817426532506943
6970,35190,500,0.05362605303525925,0.059975214302539825,0.006349161267280579,0.07608126103878021
6970,35190,800,0.010896237567067146,0.011961528100073338,0.0010652905330061913,0.031248724088072777
6970,35190,950,0.003154048463329673,0.003910287283360958,0.0007562388200312853,0.020599475130438805
35190,50780,50,0.6277874708175659,0.6322243213653564,0.004436850547790527,0.07201538234949112
35190,50780,200,0.36387646198272705,0.37140005826950073,0.007523596286773682,0.08126120269298553
35190,50780,500,0.11564268171787262,0.12238694727420807,0.006744265556335449,0.08182389289140701
35190,50780,800,0.017807094380259514,0.018255703151226044,0.00044860877096652985,0.021042820066213608
35190,50780,950,0.004367711953818798,0.004525872878730297,0.00015816092491149902,0.014122321270406246
50780,45620,50,0.48058998584747314,0.4828157424926758,0.0022257566452026367,0.06915801018476486
50780,45620,200,0.25626519322395325,0.2665116786956787,0.010246485471725464,0.0833309069275856
50780,45620,500,0.07769031077623367,0.09559670835733414,0.017906397581100464,0.12699703872203827
50780,45620,800,0.014333284460008144,0.015759173780679703,0.0014258893206715584,0.0389334037899971
50780,45620,950,0.004038278944790363,0.00419093482196331,0.00015265587717294693,0.015525523573160172
45620,27323,50,0.5061402916908264,0.5122582912445068,0.00611799955368042,0.08471203595399857
45620,27323,200,0.2561752200126648,0.267439067363739,0.011263847351074219,0.09865110367536545
45620,27323,500,0.0834425687789917,0.09059068560600281,0.007148116827011108,0.08391069620847702
45620,27323,800,0.016843676567077637,0.01699702814221382,0.0001533515751361847,0.030962929129600525
45620,27323,950,0.004603981040418148,0.004738913848996162,0.00013493280857801437,0.02222723700106144
27323,51581,50,0.4724242687225342,0.4830002784729004,0.010576009750366211,0.11587368696928024
27323,51581,200,0.24560192227363586,0.267561674118042,0.021959751844406128,0.1399248093366623
27323,51581,500,0.08615085482597351,0.09647208452224731,0.010321229696273804,0.10507258772850037
27323,51581,800,0.0173630528151989,0.018293552100658417,0.0009304992854595184,0.03904489427804947
27323,51581,950,0.004720980301499367,0.005140956025570631,0.00041997572407126427,0.019050445407629013
51581,7163,50,0.459144651889801,0.4636040925979614,0.0044594407081604,0.09452220797538757
51581,7163,200,0.24664121866226196,0.26109084486961365,0.014449626207351685,0.1105632409453392
51581,7163,500,0.08950886130332947,0.0989205464720726,0.009411685168743134,0.0876266360282898
51581,7163,800,0.014885195530951023,0.016025889664888382,0.0011406941339373589,0.03422818332910538
51581,7163,950,0.0038413393776863813,0.004119351040571928,0.0002780116628855467,0.013517673127353191
7163,50828,50,0.578087568283081,0.5842757225036621,0.006188154220581055,0.0880010649561882
7163,50828,200,0.3068307638168335,0.31732600927352905,0.010495245456695557,0.09592742472887039
7163,50828,500,0.09596647322177887,0.10305651277303696,0.007090039551258087,0.09333233535289764
7163,50828,800,0.016851579770445824,0.017902342602610588,0.0010507628321647644,0.02821481227874756
7163,50828,950,0.004558161832392216,0.0045870039612054825,2.8842128813266754e-05,0.016062017530202866
50828,53785,50,0.4492419362068176,0.45129168033599854,0.002049744129180908,0.06568360328674316
50828,53785,200,0.20097863674163818,0.20641767978668213,0.005439043045043945,0.07011530548334122
50828,53785,500,0.051404863595962524,0.05521786957979202,0.0038130059838294983,0.06859026104211807
50828,53785,800,0.00877615250647068,0.009496944025158882,0.0007207915186882019,0.030381450429558754
50828,53785,950,0.002862137509509921,0.00314017990604043,0.000278042396530509,0.018240272998809814
53785,1851,50,0.6088595390319824,0.6125775575637817,0.0037180185317993164,0.07387606799602509
53785,1851,200,0.32791849970817566,0.3339383602142334,0.006019860506057739,0.0788167417049408
53785,1851,500,0.10117775946855545,0.10799827426671982,0.006820514798164368,0.07690603286027908
53785,1851,800,0.015384145081043243,0.01681314781308174,0.001429002732038498,0.0372687466442585
53785,1851,950,0.004586575552821159,0.0047868387773633,0.00020026322454214096,0.02070620469748974
1851,29558,50,0.644123911857605,0.6463896632194519,0.002265751361846924,0.06528290361166
1851,29558,200,0.3675144910812378,0.3715946674346924,0.00408017635345459,0.06439504027366638
1851,29558,500,0.11020462214946747,0.11447486281394958,0.004270240664482117,0.0621677041053772
1851,29558,800,0.0158543661236763,0.016572725027799606,0.0007183589041233063,0.027663512155413628
1851,29558,950,0.00385619536973536,0.004028208553791046,0.000172013184055686,0.01456349529325962
29558,59471,50,0.5905387997627258,0.5951415300369263,0.0046027302742004395,0.07134141027927399
29558,59471,200,0.3676169216632843,0.37413734197616577,0.00652042031288147,0.08332280814647675
29558,59471,500,0.13650667667388916,0.13872767984867096,0.0022210031747817993,0.04944273829460144
29558,59471,800,0.02039015106856823,0.02079048939049244,0.0004003383219242096,0.015486730262637138
29558,59471,950,0.00493618194013834,0.0052014985121786594,0.00026531657204031944,0.01119025144726038
59471,59462,50,0.4696778357028961,0.4746009111404419,0.004923075437545776,0.07637296617031097
59471,59462,200,0.26175132393836975,0.26971548795700073,0.007964164018630981,0.08297551423311234
59471,59462,500,0.09753990173339844,0.10474638640880585,0.00720648467540741,0.08379010111093521
59471,59462,800,0.019632389768958092,0.01981736347079277,0.00018497370183467865,0.032755862921476364
59471,59462,950,0.0049897111020982265,0.0051994118839502335,0.0002097007818520069,0.015457498840987682
59462,16584,50,0.44996416568756104,0.45542818307876587,0.005464017391204834,0.07527634501457214
59462,16584,200,0.24274125695228577,0.24960298836231232,0.00686173141002655,0.07550555467605591
59462,16584,500,0.08125819265842438,0.0897781103849411,0.008519917726516724,0.09727779030799866
59462,16584,800,0.016467057168483734,0.01808764971792698,0.001620592549443245,0.03562508895993233
59462,16584,950,0.004428540356457233,0.004475901834666729,4.7361478209495544e-05,0.012123324908316135
