PCA fit7500 dimension=256
{'label': 'shuffle1', 'dimension': 1024, 'alpha': 1.0, 'cosine': 0.6807397002361116, 'forward_two_way': 0.5104684684684685, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle1', 'dimension': 1024, 'alpha': 10.0, 'cosine': 0.6807470235760003, 'forward_two_way': 0.5104564564564564, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle1', 'dimension': 1024, 'alpha': 100.0, 'cosine': 0.6808200499863237, 'forward_two_way': 0.5104594594594595, 'top1': 0.001, 'top5': 0.005}
{'label': 'shuffle1', 'dimension': 1024, 'alpha': 1000.0, 'cosine': 0.6815302249314118, 'forward_two_way': 0.5103373373373373, 'top1': 0.001, 'top5': 0.006}
{'label': 'shuffle2', 'dimension': 1024, 'alpha': 0.1, 'cosine': 0.6790725911382138, 'forward_two_way': 0.501035035035035, 'top1': 0.001, 'top5': 0.006}
{'label': 'shuffle2', 'dimension': 1024, 'alpha': 1.0, 'cosine': 0.6790733273575404, 'forward_two_way': 0.501037037037037, 'top1': 0.001, 'top5': 0.006}
{'label': 'shuffle2', 'dimension': 1024, 'alpha': 10.0, 'cosine': 0.6790806921042566, 'forward_two_way': 0.501033033033033, 'top1': 0.001, 'top5': 0.006}
{'label': 'shuffle2', 'dimension': 1024, 'alpha': 100.0, 'cosine': 0.6791541338978724, 'forward_two_way': 0.5010270270270271, 'top1': 0.001, 'top5': 0.006}
{'label': 'shuffle2', 'dimension': 1024, 'alpha': 1000.0, 'cosine': 0.6798683080936379, 'forward_two_way': 0.500961961961962, 'top1': 0.001, 'top5': 0.006}
{'label': 'shuffle3', 'dimension': 1024, 'alpha': 0.1, 'cosine': 0.6789691340921674, 'forward_two_way': 0.5043603603603604, 'top1': 0.002, 'top5': 0.007}
{'label': 'shuffle3', 'dimension': 1024, 'alpha': 1.0, 'cosine': 0.678969880406054, 'forward_two_way': 0.5043623623623623, 'top1': 0.002, 'top5': 0.007}
{'label': 'shuffle3', 'dimension': 1024, 'alpha': 10.0, 'cosine': 0.6789773499731707, 'forward_two_way': 0.5043543543543543, 'top1': 0.002, 'top5': 0.007}
{'label': 'shuffle3', 'dimension': 1024, 'alpha': 100.0, 'cosine': 0.6790518357522379, 'forward_two_way': 0.5043473473473473, 'top1': 0.002, 'top5': 0.007}
{'label': 'shuffle3', 'dimension': 1024, 'alpha': 1000.0, 'cosine': 0.6797763065608194, 'forward_two_way': 0.5042602602602603, 'top1': 0.002, 'top5': 0.006}
{'label': 'shuffle4', 'dimension': 1024, 'alpha': 0.1, 'cosine': 0.6770577175991885, 'forward_two_way': 0.49350550550550554, 'top1': 0.001, 'top5': 0.002}
{'label': 'shuffle4', 'dimension': 1024, 'alpha': 1.0, 'cosine': 0.6770584901130106, 'forward_two_way': 0.4935035035035035, 'top1': 0.001, 'top5': 0.002}
{'label': 'shuffle4', 'dimension': 1024, 'alpha': 10.0, 'cosine': 0.6770662169060531, 'forward_two_way': 0.49350550550550554, 'top1': 0.001, 'top5': 0.002}
{'label': 'shuffle4', 'dimension': 1024, 'alpha': 100.0, 'cosine': 0.6771432719406719, 'forward_two_way': 0.49353053053053053, 'top1': 0.001, 'top5': 0.002}
{'label': 'shuffle4', 'dimension': 1024, 'alpha': 1000.0, 'cosine': 0.6778929395471416, 'forward_two_way': 0.4936156156156156, 'top1': 0.001, 'top5': 0.002}
{'label': 'shuffle5', 'dimension': 1024, 'alpha': 0.1, 'cosine': 0.6785881780578221, 'forward_two_way': 0.5036826826826827, 'top1': 0.002, 'top5': 0.009}
{'label': 'shuffle5', 'dimension': 1024, 'alpha': 1.0, 'cosine': 0.6785889415935653, 'forward_two_way': 0.5036846846846846, 'top1': 0.002, 'top5': 0.009}
{'label': 'shuffle5', 'dimension': 1024, 'alpha': 10.0, 'cosine': 0.6785965808563531, 'forward_two_way': 0.5036816816816817, 'top1': 0.002, 'top5': 0.009}
{'label': 'shuffle5', 'dimension': 1024, 'alpha': 100.0, 'cosine': 0.6786727590580566, 'forward_two_way': 0.5036906906906907, 'top1': 0.002, 'top5': 0.009}
{'label': 'shuffle5', 'dimension': 1024, 'alpha': 1000.0, 'cosine': 0.679413696331882, 'forward_two_way': 0.5036996996996997, 'top1': 0.002, 'top5': 0.009}
PCA refit8500 dimension=256
PCA refit8500 dimension=1024
