image_id,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,CLIP_cosine,EfficientNet,SwAV
95,-0.016776533293681985,0.5828053183486381,89.47895791583166,97.69539078156313,93.7875751503006,96.8937875751503,0.8238495588302612,0.5700169421317187,0.3072611500377457
204,-0.06746562852795787,0.15012928180051663,78.45691382765531,93.5871743486974,95.49098196392785,92.98597194388778,0.5593258142471313,0.8819700586221222,0.4353337813264125
318,-0.03588998638922793,0.39440055870417445,24.34869739478958,53.30661322645291,82.96593186372746,96.79358717434869,0.6146872639656067,0.9902884434964845,0.5603799311463777
356,0.01795648360781786,0.279158556021468,90.4809619238477,97.49498997995991,67.03406813627254,95.79158316633266,0.6219438314437866,0.9289528740720872,0.5198306176676886
425,0.014102868111880149,0.16139673154422707,100.0,99.19839679358716,90.78156312625251,94.68937875751503,0.664093017578125,0.8479680805064328,0.6646802450065267
458,-0.0917896804377234,0.24260986746216517,53.3066132264529,96.19238476953907,83.46693386773546,90.38076152304609,0.6412761211395264,0.8075492642891045,0.3768073529156685
637,0.15557112366239262,0.42713028962751504,96.79358717434869,92.48496993987976,86.57314629258516,55.51102204408818,0.5620945692062378,0.902138099923629,0.5751896542406689
709,0.06330130992356021,0.3065453526122601,16.63326653306613,93.48697394789579,97.79559118236472,97.89579158316633,0.6379711627960205,0.6444156501535014,0.5869692311775976
868,-0.07457411274577273,0.07218094396814063,81.4629258517034,72.74549098196393,48.99799599198396,18.837675350701403,0.36471012234687805,0.9972903251912315,0.550705402301721
1015,0.003688872547302352,0.6210655035810155,91.58316633266533,87.7755511022044,99.6993987975952,98.69739478957916,0.6987444162368774,0.41684418025215847,0.34971239848616376
1288,0.6029117662326575,0.42875893274808097,99.89979959919839,100.0,96.79358717434869,97.99599198396794,0.6205060482025146,0.712964528281572,0.2520767053229932
1589,-0.017269137002161178,0.2931864064790273,66.83366733466933,97.1943887775551,98.29659318637275,95.19038076152304,0.6503248810768127,0.7325043606661017,0.3836795025277449
1744,0.6723781065654246,0.39727644106271365,84.66933867735472,79.05811623246493,98.69739478957916,99.6993987975952,0.6501567959785461,0.7446600879585674,0.3727986900922862
1818,-0.12831755299820635,0.09006826533314352,54.10821643286573,75.1503006012024,95.19038076152304,43.08617234468939,0.5433709621429443,0.9141728050414317,0.6354638641240258
2070,0.07218212724749748,0.2019331931262166,67.63527054108216,91.78356713426854,95.89178356713427,85.77154308617234,0.3628053665161133,0.6949317318551659,0.48510695321696135
2125,0.022620298776200726,0.3601702843871187,35.37074148296593,90.4809619238477,89.17835671342687,56.412825651302605,0.5683770775794983,0.9666572841348132,0.5280370931267566
2327,0.25760987034369925,0.4029842771321527,45.99198396793587,75.0501002004008,58.91783567134269,59.519038076152306,0.5524972677230835,0.9777435894556633,0.6309640477143305
2737,0.007768014576359783,0.12117801955954066,89.87975951903809,97.69539078156313,99.19839679358718,99.39879759519039,0.8091193437576294,0.5562250643351513,0.3198806423548877
2795,-0.00692110325369385,0.233608037384893,72.84569138276552,98.79759519038076,85.37074148296594,98.49699398797596,0.6924486756324768,0.8941440552725006,0.4204298285755367
2980,-0.0003871951496755132,0.08566068531906541,50.80160320641282,91.48296593186373,99.29859719438878,97.89579158316633,0.7798358201980591,0.5955006697377794,0.5285538905884393
3338,0.32086860457119193,0.38848428802181334,81.1623246492986,94.78957915831663,64.72945891783567,79.45891783567134,0.523902952671051,0.9433234516623613,0.5294004311493246
3344,0.07077399131410299,0.19775885149378156,93.7875751503006,87.87575150300601,67.13426853707415,19.43887775551102,0.317898690700531,0.9236896754589189,0.6449246169014269
3368,0.015577212887090628,0.18274725558040486,71.9438877755511,96.09218436873748,92.38476953907815,91.28256513026051,0.5703606605529785,0.853906419704328,0.4524798752753675
3731,-0.0020802831009192335,0.40388360355207065,68.8376753507014,71.9438877755511,57.11422845691383,86.77354709418837,0.5588622093200684,0.9393500075026687,0.42752542849776226
3803,0.3009990260915233,0.5152339846280874,68.7374749498998,87.5751503006012,50.80160320641283,59.61923847695391,0.5553300976753235,0.7858404612014619,0.38491668974504956
4292,-0.17499510721507455,0.31350259379970835,68.33667334669339,63.82765531062124,93.88777555110221,42.88577154308617,0.4795641303062439,0.9167070405522519,0.4533117594937835
4409,0.06212008456295212,0.19505416935081635,86.67334669338678,76.05210420841684,74.24849699398797,75.250501002004,0.5884044170379639,0.9469459163264562,0.6536685837369935
4476,0.19890532194158952,0.5707040386034443,74.9498997995992,84.96993987975952,97.39478957915831,92.58517034068136,0.6709507703781128,0.7622941941860931,0.29331103329711644
4509,0.020372028986961443,0.17034746130815798,93.08617234468937,97.09418837675351,50.701402805611224,94.18837675350701,0.6572684049606323,0.7345620198881198,0.47533914855416765
4927,0.1188528435897058,0.2657517276515846,81.36272545090179,67.43486973947896,95.79158316633266,40.08016032064128,0.465442419052124,0.9172602537880947,0.5197842677648568
