image_id,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,CLIP_cosine,EfficientNet,SwAV
95,0.013797201759757821,0.5806820099914582,79.95991983967937,92.58517034068136,98.09619238476954,92.78557114228457,0.7485287189483643,0.5897325376164864,0.3399226173648009
204,0.07594026960715838,0.15270734249175708,98.09619238476954,98.99799599198397,94.98997995991985,89.47895791583167,0.5607331991195679,0.809634066946564,0.42911862532491524
318,-0.0940953214360843,0.3818132581155319,10.420841683366733,63.126252505010015,25.65130260521042,97.89579158316633,0.6185259819030762,0.9542550045084617,0.5661854284653071
356,0.01184822385398063,0.24739972749088118,80.96192384769539,86.17234468937875,32.66533066132264,97.79559118236472,0.6375913619995117,1.043626454299395,0.6110192170780409
425,-0.008849683398023209,0.16914480491310913,99.79959919839679,100.0,99.19839679358716,96.69338677354709,0.6807105541229248,0.7590569618295818,0.5842629947175803
458,-0.08483502628454821,0.23972086479405644,66.73346693386773,96.69338677354709,93.38677354709418,93.18637274549098,0.6687196493148804,0.7930381803752767,0.3451079808694969
637,0.19898839538433222,0.41769759329832845,85.87174348697394,77.95591182364728,46.392785571142284,64.92985971943887,0.5827494263648987,0.8864308264972625,0.533742482662307
709,-0.01843255181193871,0.313285430165599,22.344689378757515,89.47895791583167,90.6813627254509,98.39679358717434,0.6540395617485046,0.6744571859617536,0.586512382439819
868,-0.10501243210623815,0.0752293140309187,69.93987975951904,76.65330661322645,89.37875751503006,74.14829659318637,0.49478936195373535,0.9782307798870409,0.5343362740856054
1015,-0.12642066460182239,0.5553662181996678,95.99198396793588,93.3867735470942,98.49699398797594,99.49899799599197,0.7126816511154175,0.5887895738008586,0.4667828759584829
1288,0.4860497416649192,0.40824752218912075,96.39278557114228,99.6993987975952,96.99398797595191,97.99599198396794,0.6412522196769714,0.7513403560177179,0.2737878906969672
1589,0.017883853526606958,0.20836250649179938,67.63527054108216,93.18637274549098,98.29659318637275,91.98396793587173,0.6307558417320251,0.6694259901577673,0.3978324345101349
1744,0.6388786870450369,0.39133360725005384,98.29659318637275,99.29859719438878,99.29859719438878,99.29859719438878,0.6232712268829346,0.6524699653893977,0.35563943580666113
1818,-0.1675888550686467,0.08337672683573297,51.60320641282566,57.51503006012024,93.5871743486974,75.75150300601203,0.5999500751495361,0.8355372754017703,0.613101247156812
2070,0.0779194005075281,0.2286241155545469,55.611222444889776,87.07414829659318,98.59719438877755,97.59519038076152,0.4809606671333313,0.5933188745411829,0.4451287529698848
2125,0.03276278318527878,0.37187582568796784,58.71743486973948,90.08016032064128,75.45090180360721,78.15631262525051,0.5941383838653564,0.9427402408238694,0.506272208224551
2327,0.14221537733780426,0.3816849967490673,40.480961923847694,69.33867735470942,69.23847695390782,78.55711422845692,0.5841031074523926,0.9794678082272794,0.6046329345608077
2737,-0.03841406596323206,0.1090949145671572,82.46492985971943,96.49298597194388,99.39879759519039,98.89779559118236,0.7838720083236694,0.5322844580684698,0.34739601035514256
2795,-0.021175886172169617,0.23808656895840424,96.7935871743487,92.88577154308618,57.61523046092184,99.09819639278557,0.7033287286758423,0.9394063552378427,0.5100493292664299
2980,0.05185406153959725,0.09060552518896793,52.90581162324649,94.68937875751503,96.39278557114228,97.59519038076152,0.7594212889671326,0.6482629173726863,0.5329934497260194
3338,0.2982242299131691,0.3832802070638692,86.97394789579158,93.88777555110221,60.82164328657314,82.86573146292585,0.5305326581001282,0.9001495870921143,0.4912869504508955
3344,0.09584631142674346,0.20804832391325845,89.47895791583167,83.16633266533066,61.22244488977956,36.27254509018036,0.34148550033569336,0.9659440663233664,0.6537149652860699
3368,0.03362596662759573,0.21427242918897982,57.515030060120246,96.99398797595191,98.09619238476954,96.39278557114228,0.6163945198059082,0.7141611355741507,0.49176483921381564
3731,0.32274448676896084,0.4660669422438235,98.19639278557113,98.49699398797596,100.0,98.99799599198397,0.6415631771087646,0.7870304002709152,0.37570541328031465
3803,0.23798928005393633,0.48125551524412624,61.12224448897796,87.87575150300601,62.725450901803605,55.410821643286575,0.5302364826202393,0.6867912029659443,0.3931976692736618
4292,-0.11252317736672181,0.32985414302971994,71.9438877755511,80.76152304609218,95.39078156312625,44.88977955911824,0.4850224256515503,0.8647534801179639,0.38755883202572977
4409,0.0671325204786853,0.23294615083433168,70.74148296593185,97.69539078156313,92.88577154308618,81.3627254509018,0.6140890121459961,0.8565435362754157,0.5454391957164
4476,0.2994026057749986,0.671746850070579,94.58917835671343,96.8937875751503,95.69138276553107,99.09819639278557,0.7365355491638184,0.7774953477805857,0.2713919979343318
4509,-0.0008641682335591705,0.16582905159724648,93.48697394789579,96.09218436873748,56.91382765531062,84.36873747494991,0.6577703952789307,0.7567672903115696,0.5218379937758604
4927,-0.08075717936728553,0.23575160763862463,68.43687374749499,46.793587174348694,98.29659318637275,96.19238476953907,0.5999526381492615,0.836557684724887,0.48555429677488793
4967,0.04975415355429014,0.31238429791044453,77.05410821643287,87.97595190380761,98.89779559118236,98.19639278557113,0.7755962610244751,0.6004542470120927,0.4367856723760035
5340,-0.24878316603522177,0.11218843035300965,68.33667334669339,22.44488977955912,73.04609218436875,99.09819639278557,0.6687157154083252,0.8119734021959812,0.6193959789618116
5582,0.06876466473673123,0.6722790578094149,93.9879759519038,99.89979959919839,97.89579158316633,97.49498997995991,0.6900660991668701,0.4576307263680223,0.31000722390279
5656,-0.011693890883985914,0.13903370774779417,42.48496993987976,83.86773547094188,97.49498997995991,99.19839679358716,0.7231364250183105,0.7506660282888508,0.5549822771571628
5683,0.048679820084596384,0.3574605542098219,54.10821643286573,48.19639278557115,50.60120240480961,94.38877755511021,0.7262483835220337,0.7839484931187835,0.44884207402507853
5790,-0.27300433367951626,0.17955808103230553,64.92985971943888,91.08216432865731,70.54108216432866,89.77955911823648,0.5109638571739197,0.8980398369237912,0.6423730935056018
5929,-0.1344938742057357,0.3531388627551246,55.41082164328657,86.27254509018036,80.26052104208416,47.895791583166336,0.4199325442314148,0.8575175397892159,0.4464760407299088
6315,0.28377656081017955,0.35804697606712566,68.73747494989979,89.37875751503006,79.85971943887775,97.29458917835672,0.6858375668525696,0.8898498824855057,0.522466735603636
6360,-0.0077100385664675836,0.19209737165284074,86.27254509018036,72.0440881763527,88.47695390781564,98.39679358717434,0.505540668964386,0.8184721383661635,0.4587805174809605
6454,0.09507832323741094,0.2006994919543412,51.102204408817634,97.39478957915831,99.09819639278557,99.19839679358716,0.7270380258560181,0.5916275930212114,0.34578666232944844
6603,0.1320518869971304,0.15495100598604186,77.05410821643287,66.63326653306613,47.895791583166336,55.010020040080164,0.5286834239959717,0.9952234694812928,0.5951033481717951
6750,0.25359292466958683,0.4052494255056476,93.68737474949899,96.29258517034069,95.79158316633266,96.99398797595191,0.6092641353607178,0.719822789021862,0.4292489279503654
6759,-0.06855140562664874,0.3862794437360798,81.26252505010021,99.09819639278557,99.09819639278557,98.79759519038076,0.8133598566055298,0.4861456952693783,0.2682063502916951
6770,0.20660271924092344,0.24180386922866054,78.75751503006012,89.07815631262525,96.9939879759519,98.39679358717436,0.673035740852356,0.5434517033011174,0.3536015172631861
6991,-0.05092320567949711,0.13525612122827696,74.44889779559118,65.23046092184369,40.5811623246493,48.697394789579164,0.45405852794647217,0.9901893939668016,0.44987105878823275
7306,0.12370285539847622,0.2784338368735165,92.58517034068137,94.78957915831663,97.99599198396794,98.39679358717436,0.6115140914916992,0.6888668511809539,0.34616571847378147
7355,-0.03776332250804037,0.08675735130424589,77.05410821643287,64.72945891783567,21.9438877755511,68.937875751503,0.5783969163894653,0.9772067073144768,0.5838190419494681
7899,-0.05577654739405849,0.18406287305937089,72.44488977955912,65.93186372745491,98.69739478957916,65.13026052104209,0.5098555684089661,0.726293308416768,0.4282586863044365
8061,0.08838961958275644,0.1714626565313982,89.37875751503006,96.49298597194388,90.9819639278557,66.13226452905812,0.3865015506744385,0.9592971487277793,0.53333420553575
8215,0.1474838585256626,0.22231004612241106,46.59318637274549,58.81763527054109,94.28857715430861,96.29258517034069,0.5120619535446167,0.7737833464493242,0.5232121841121589
8234,-0.04252529854382391,0.23509464631970975,87.27454909819639,94.98997995991984,99.6993987975952,95.79158316633266,0.6954279541969299,0.6268540753404156,0.37722871452668977
8238,0.3296360067345126,0.404534098473707,83.66733466933869,88.17635270541082,89.17835671342685,62.92585170340682,0.5869601964950562,0.9352190371182424,0.5822204969793034
8275,0.012529775867361499,0.36913493042542395,37.074148296593194,83.36673346693387,88.37675350701403,53.0060120240481,0.5063538551330566,0.8716797380134456,0.5070559144541517
8367,0.6082632662332035,0.48269092008957937,94.98997995991984,96.39278557114228,94.98997995991984,94.18837675350701,0.694119930267334,0.8021675877652871,0.37823144775571343
8828,0.14236014470741587,0.28786668725655556,57.51503006012024,92.98597194388778,98.19639278557113,98.59719438877755,0.6834326982498169,0.7688186290695405,0.45340834247563405
8862,-0.017945085299972453,0.32597529337304976,82.66533066132266,99.09819639278557,86.87374749498997,98.69739478957916,0.7204138040542603,0.8492482176970984,0.5743496889951527
8926,0.1318898788762914,0.17364761659942712,98.29659318637275,99.39879759519039,93.687374749499,87.374749498998,0.6502106189727783,0.7130036730329021,0.4159634832237621
9188,0.009338836049581446,0.3937393440895211,58.517034068136276,88.47695390781563,98.39679358717436,98.39679358717436,0.791595458984375,0.680751117681017,0.3081088112431519
9298,0.06388020742079831,0.2617825946757015,82.86573146292585,98.69739478957916,99.89979959919839,91.38276553106212,0.5977364778518677,0.6011824488562072,0.34278967595738347
9376,0.05058641333846512,0.5813457384502949,88.47695390781564,98.09619238476954,98.39679358717436,98.19639278557113,0.8132966160774231,0.41490420515794485,0.26788202154371693
9712,-0.0765117594185766,0.14321331781325383,50.501002004008015,54.809619238476955,34.96993987975952,66.63326653306613,0.5568744540214539,1.0198912547098031,0.6583691586660225
9877,0.05054722761036118,0.37971600480879475,30.66132264529058,94.98997995991985,99.19839679358716,98.29659318637275,0.6904289126396179,0.6912937679922092,0.37078716383747806
10115,0.1405484341191155,0.45615803490797835,69.53907815631263,93.18637274549098,54.10821643286573,70.94188376753507,0.4501493573188782,0.7572746269165642,0.5607753750914041
10191,-0.010809462684015187,0.5833188712439977,88.57715430861722,97.99599198396794,98.29659318637275,96.09218436873746,0.7616801857948303,0.31783405358609373,0.2912383306124219
10361,0.03619919548691485,0.19970729918675892,84.06813627254509,87.0741482965932,66.63326653306613,41.08216432865731,0.47939565777778625,0.8329797053408164,0.4669709994492995
10602,0.2722224443781674,0.21189757382477992,53.70741482965932,82.16432865731463,96.79358717434869,95.49098196392785,0.7395328283309937,0.9732009837017404,0.5337326583102876
10622,0.03164329043710781,0.3099596358065281,63.72745490981964,72.34468937875752,53.006012024048104,92.68537074148297,0.6329784393310547,1.0146954403024788,0.6675678351804077
