image_id,candidate,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,CLIP_cosine,EfficientNet,SwAV
95,0,0.17816261384296792,0.6397601001952904,88.57715430861724,97.39478957915831,96.39278557114228,93.18637274549098,0.7596672773361206,0.49745795396615855,0.270879054888735
95,1,-0.15056821032345227,0.5216039197876262,71.34268537074149,87.7755511022044,99.79959919839679,92.38476953907816,0.7373901605606079,0.6820071212668142,0.4089661798408668
204,0,0.06713599448262375,0.11936627484940952,100.0,100.0,100.0,99.19839679358718,0.6145589351654053,0.7384151766217488,0.3279354077271537
204,1,0.084744544731693,0.1860484101341046,96.19238476953907,97.99599198396794,89.97995991983969,79.75951903807615,0.5069075226783752,0.8808529572713794,0.5303018429226768
318,0,-0.29591241666345147,0.3670918263890387,1.8036072144288577,76.35270541082164,44.28857715430862,96.79358717434869,0.6074755191802979,0.9361193493363894,0.5638118721630363
318,1,0.10772177379128287,0.39653468984202517,19.03807615230461,49.899799599198396,7.014028056112225,98.99799599198397,0.6295763850212097,0.9723906596805338,0.5685589847675778
356,0,-0.03661575114802133,0.27405330250917487,70.54108216432866,84.76953907815631,10.220440881763528,96.19238476953907,0.6087237000465393,1.034231711103908,0.5988976150111417
356,1,0.060312198855982595,0.22074615247258753,91.38276553106212,87.5751503006012,55.11022044088176,99.39879759519037,0.6664590835571289,1.0530211974948818,0.6231408191449399
425,0,-0.11160158779309229,0.15834356766334634,100.0,100.0,98.39679358717434,99.39879759519037,0.7006917595863342,0.7329603843709964,0.5916687404910801
425,1,0.09390222099704587,0.17994604216287194,99.59919839679358,100.0,100.0,93.9879759519038,0.6607294082641602,0.7851535392881672,0.5768572489440804
458,0,-0.0753553594977773,0.27337671179193096,63.126252505010015,97.79559118236473,89.97995991983969,87.374749498998,0.6225603818893433,0.840663423701711,0.3516490134697142
458,1,-0.09431469307131912,0.20606501779618192,70.34068136272545,95.59118236472945,96.79358717434869,98.99799599198397,0.7148789167404175,0.7454129370488425,0.3385669482692796
637,0,0.2202811544530688,0.40987073749050495,81.3627254509018,66.53306613226452,76.35270541082164,98.39679358717434,0.6496297121047974,0.9319036664968896,0.5079345799863795
637,1,0.17769563631559562,0.42552444910615195,90.38076152304609,89.37875751503006,16.432865731462925,31.462925851703403,0.515869140625,0.8409579864976352,0.5595503853382345
709,0,0.046973911408693086,0.29804671614747535,22.645290581162325,98.79759519038076,96.9939879759519,100.0,0.7456791400909424,0.6289770508876062,0.546598054358036
709,1,-0.0838390150325705,0.32852414418372267,22.044088176352705,80.16032064128257,84.3687374749499,96.79358717434869,0.5623999834060669,0.7199373210359011,0.6264267105216019
868,0,-0.15805027216548936,0.0819286988404295,74.14829659318637,83.36673346693387,89.57915831663327,55.11022044088176,0.4407880902290344,0.9849088340764035,0.5046803627218922
868,1,-0.051974592046986914,0.0685299292214079,65.7314629258517,69.93987975951904,89.17835671342685,93.18637274549098,0.5487906336784363,0.9715527256976784,0.5639921854493185
1015,0,0.07773248820877428,0.5837575944779521,99.19839679358718,92.38476953907816,97.39478957915831,99.59919839679358,0.7252064943313599,0.5928920391564242,0.4844926776857298
1015,1,-0.33057381741241904,0.5269748419213836,92.78557114228457,94.38877755511022,99.59919839679358,99.39879759519037,0.7001567482948303,0.5846871084452931,0.449073074231236
1288,0,0.57120000510049,0.41559997215115774,100.0,100.0,95.39078156312625,97.59519038076152,0.6324580907821655,0.7251017488097296,0.26633729393922734
1288,1,0.4008994782293485,0.4008950722270838,92.78557114228457,99.39879759519037,98.59719438877755,98.39679358717434,0.6500463485717773,0.7775789632257061,0.28123848745470703
1589,0,0.18053432906949138,0.20398785788304957,98.99799599198397,94.18837675350701,97.1943887775551,97.1943887775551,0.6504303812980652,0.7711772970576951,0.4412026498637963
1589,1,-0.14476662201627746,0.21273715510054916,36.27254509018036,92.18436873747495,99.39879759519037,86.77354709418837,0.6110813021659851,0.5676746832578394,0.35446221915647347
1744,0,0.6238141101857854,0.40759040108981376,99.79959919839679,100.0,99.19839679358718,99.59919839679358,0.6274346709251404,0.684128870138051,0.3637006096267379
1744,1,0.6539432639042885,0.37507681341029386,96.79358717434869,98.59719438877755,99.39879759519037,98.99799599198397,0.6191078424453735,0.6208110606407444,0.34757826198658437
1818,0,-0.10626567534363036,0.0890040081155787,89.97995991983969,97.59519038076152,89.77955911823648,89.97995991983969,0.6261566877365112,0.7605764009156608,0.5487404024786442
1818,1,-0.22891203479366307,0.07774944555588725,13.226452905811623,17.43486973947896,97.39478957915831,61.523046092184366,0.5737434029579163,0.9104981498878798,0.67746209183498
2070,0,0.033045568357050276,0.23973162334736028,43.28657314629258,90.18036072144288,97.39478957915831,97.99599198396794,0.5101442337036133,0.5219780576082894,0.3883428097765399
2070,1,0.12279323265800592,0.2175166077617335,67.93587174348697,83.96793587174348,99.79959919839679,97.1943887775551,0.4517771005630493,0.6646596914740764,0.5019146961632297
2125,0,0.18776161159800406,0.34909679541102273,60.52104208416834,97.1943887775551,96.39278557114228,95.39078156312625,0.634026825428009,0.9155024944561437,0.38968844082532617
2125,1,-0.1222360452274465,0.394654855964913,56.91382765531062,82.96593186372746,54.50901803607214,60.92184368737475,0.5542498826980591,0.969977987191595,0.6228559756237759
2327,0,0.3499080263763086,0.458072852782549,70.34068136272545,91.58316633266533,89.37875751503006,89.77955911823648,0.6225361824035645,0.9238359531810254,0.5336671527351391
2327,1,-0.06547727170070004,0.30529714071558567,10.62124248496994,47.09418837675351,49.09819639278557,67.33466933867736,0.5456699728965759,1.0350996632735334,0.6755987163864763
2737,0,0.018264560521069662,0.09980430628637048,91.58316633266533,98.39679358717434,98.79759519038076,99.79959919839679,0.8137310743331909,0.5952758630040256,0.3916110812751804
2737,1,-0.09509269244753378,0.1183855228479439,73.34669338677354,94.58917835671342,100.0,97.99599198396794,0.754012942314148,0.4692930531329139,0.3031809394351047
2795,0,-0.02918344082189552,0.24099546797114083,100.0,88.17635270541082,83.36673346693387,99.39879759519037,0.7182446122169495,0.9413662115349588,0.4765589408293619
2795,1,-0.013168331522443712,0.23517766994566763,93.5871743486974,97.59519038076152,31.863727454909817,98.79759519038076,0.6884127855300903,0.9374464989407265,0.5435397177034977
2980,0,0.03378226669926822,0.09939129762662222,6.012024048096192,89.57915831663327,93.9879759519038,98.59719438877755,0.768715500831604,0.7369788607330534,0.6822562744669742
2980,1,0.06992585637992628,0.08181975275131365,99.79959919839679,99.79959919839679,98.79759519038076,96.59318637274549,0.7501270771026611,0.5595469740123191,0.3837306249850646
3338,0,0.17684665649558617,0.39944086391352474,76.95390781563127,87.7755511022044,25.250501002004004,93.9879759519038,0.5596907734870911,0.926392153166137,0.4979358171136522
3338,1,0.41960180333075203,0.3671195502142138,96.9939879759519,100.0,96.39278557114228,71.7434869739479,0.5013745427131653,0.8739070210180916,0.4846380837881388
3344,0,0.059077435900358424,0.1953056104544825,93.3867735470942,66.73346693386773,23.446893787575153,53.3066132264529,0.36573880910873413,1.0343304816183807,0.670323433385818
3344,1,0.1326151869531285,0.2207910373720344,85.57114228456913,99.59919839679358,98.99799599198397,19.238476953907817,0.317232221364975,0.897557651028352,0.6371064971863218
3368,0,0.03218813011831965,0.24210525388015483,79.35871743486975,97.99599198396794,97.1943887775551,94.18837675350701,0.5837043523788452,0.7333284831401106,0.6249220409741865
3368,1,0.035063803136871824,0.18643960449780478,35.671342685370746,95.99198396793587,98.99799599198397,98.59719438877755,0.6490846276283264,0.6949937880081909,0.3586076374534448
3731,0,0.4572515033128623,0.4909125262364177,98.79759519038076,98.99799599198397,100.0,98.99799599198397,0.6532883048057556,0.7848416706513563,0.3986312892592433
3731,1,0.18823747022505943,0.44122135825122927,97.59519038076152,97.99599198396794,100.0,98.99799599198397,0.6298381090164185,0.7892191298904742,0.352779537301386
3803,0,0.2244208542043352,0.42584865617551904,92.38476953907816,97.99599198396794,98.59719438877755,70.94188376753507,0.5517548322677612,0.44070205418167374,0.2586011314249831
3803,1,0.25155770590353743,0.5366623743127334,29.859719438877757,77.75551102204409,26.853707414829657,39.879759519038075,0.5087181925773621,0.9328803517502149,0.5277942071223405
4292,0,0.060179789907256614,0.297156160597702,51.703406813627254,65.13026052104209,90.98196392785572,6.613226452905812,0.4210132956504822,0.9041639750382964,0.390028068021924
4292,1,-0.28522614464070023,0.36255212546173793,92.18436873747495,96.39278557114228,99.79959919839679,83.16633266533067,0.5490315556526184,0.8253429851976315,0.3850895960295355
