image_id,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,EfficientNet,SwAV
95,-0.10094343049935445,0.5697976056485783,88.87775551102204,98.39679358717434,97.09418837675351,97.79559118236472,0.5428313903381703,0.29112056215677146
204,-0.14299925136990022,0.15563521793557197,84.76953907815631,99.59919839679358,98.09619238476954,88.47695390781564,0.7566616959128024,0.3809731082451045
318,0.13302005139784553,0.3871034658837369,47.795591182364724,76.05210420841684,24.248496993987974,94.18837675350701,0.97699324638045,0.594934773634813
356,0.1340315597550227,0.27205677452624843,91.78356713426854,51.302605210420836,79.75951903807615,94.18837675350701,0.8970453715120493,0.5953119693190294
425,0.10587228588145697,0.20172441773785468,78.85771543086172,98.99799599198397,99.09819639278557,83.76753507014028,0.8180231668422238,0.5535955203591943
458,-0.046371758618547476,0.23500121241197808,88.67735470941884,94.48897795591182,96.7935871743487,77.8557114228457,0.842358288421436,0.3607015596480735
637,0.21025185549537997,0.4103022196663818,97.79559118236472,76.75350701402806,57.41482965931864,68.13627254509018,0.9251302494028842,0.5369365512847506
709,-0.03590640554682985,0.24977721433481148,24.9498997995992,74.34869739478958,80.36072144288578,96.19238476953907,0.6367402204475112,0.5128427117279457
868,-0.03253654374461789,0.0733794519984851,63.52705410821643,78.75751503006012,37.07414829659319,64.42885771543087,1.0053560912097845,0.5374608531896168
1015,-0.09264207985339996,0.5645785714003876,97.29458917835672,94.98997995991985,97.79559118236472,98.79759519038076,0.47310059879093724,0.46561590952729015
1288,0.46281935426209275,0.3885352192916033,98.19639278557113,99.19839679358716,96.9939879759519,96.39278557114228,0.7386368318018001,0.28780408313464806
1589,-0.07986113066733014,0.23288103498294505,57.91583166332665,87.0741482965932,88.27655310621242,77.65531062124248,0.8070662351749388,0.4687565032996495
1744,0.6456093325870054,0.39672235274209144,97.79559118236472,97.79559118236472,99.89979959919839,99.79959919839679,0.7336276678098601,0.3163916502322895
1818,-0.11507302383677528,0.09639633156647043,53.40681362725451,64.22845691382766,78.85771543086173,69.93987975951904,0.9946736538120262,0.6251010858109396
2070,0.022323097639297407,0.22378520037076355,48.39679358717434,67.33466933867736,97.1943887775551,93.08617234468937,0.6322838708804897,0.4846300206688705
2125,0.08610282943038033,0.3529321990584484,60.72144288577154,95.59118236472946,80.76152304609218,62.82565130260521,0.9745590539530329,0.572940016319905
2327,0.11753722093040674,0.38824093686986283,57.61523046092184,53.807615230460925,66.63326653306613,82.66533066132264,0.9540783293588537,0.6350654920073078
2737,0.005150844599714139,0.10410263420478583,99.09819639278557,98.09619238476954,77.85571142284569,97.69539078156312,0.7173546751502295,0.38827224658793913
2795,-0.07809260738757412,0.2066095197246467,88.17635270541082,98.79759519038076,65.93186372745491,99.79959919839679,0.8671570671142954,0.41079800752170226
