image_id,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,EfficientNet,SwAV
95,-0.08676315718040553,0.5573477719394139,78.2565130260521,97.0941883767535,96.99398797595191,94.58917835671343,0.5493080148820033,0.30969739537642077
204,-0.11306861475293678,0.15300238293436044,76.35270541082164,99.49899799599199,98.49699398797594,88.17635270541082,0.7162156424062589,0.3826233405585409
318,0.13668869098934264,0.37420634963048727,48.59719438877756,78.65731462925851,21.04208416833667,94.78957915831663,0.9709477069173371,0.5968613556126728
356,0.1729054580499565,0.27798781508369513,93.9879759519038,71.54308617234469,62.324649298597194,93.38677354709418,0.903781955710735,0.5687407120462704
425,0.10788312574942191,0.19687946344199597,78.75751503006012,99.29859719438878,99.49899799599199,88.27655310621242,0.7894775619600545,0.5735329885985215
458,-0.047470266289306375,0.23378122719737077,93.08617234468937,98.09619238476954,97.49498997995991,80.76152304609218,0.8839691173329528,0.38565122803675206
637,0.21528061475829724,0.4029187184061289,97.29458917835672,74.54909819639279,57.91583166332666,54.70941883767535,0.9586531172528661,0.5323712585269735
709,-0.05909693807960731,0.24470522157642588,17.334669338677354,68.73747494989979,87.4749498997996,96.29258517034069,0.6703331638422494,0.5335676812823061
868,-0.03321916740965553,0.0712717081912381,63.22645290581163,84.16833667334669,76.75350701402806,25.751503006012022,0.982690426497407,0.523812948609761
1015,-0.06707893787709761,0.5466031533084947,94.0881763527054,95.89178356713427,98.89779559118236,98.99799599198397,0.4784764164306902,0.45610564363963924
1288,0.4441603957822944,0.388269839610795,99.09819639278557,99.59919839679358,90.4809619238477,94.28857715430863,0.7718920468842674,0.3153174477995716
1589,-0.07873338308734659,0.23478092702897835,79.55911823647295,77.45490981963928,86.27254509018036,73.14629258517034,0.7964147130477874,0.4666680825490829
1744,0.6416071546824027,0.39146391888582954,97.29458917835672,93.48697394789579,99.89979959919839,99.6993987975952,0.7400150766765877,0.3200865152005368
1818,-0.11074743079317141,0.09562283965979744,48.59719438877755,59.61923847695391,96.09218436873746,78.55711422845691,0.9641709517620993,0.6248261421287243
2070,0.00975531197657378,0.23147384639493934,42.68537074148297,63.52705410821643,96.19238476953907,60.52104208416833,0.6424407824830545,0.41092921332701504
2125,0.108930739848114,0.349149476167908,53.90781563126252,97.89579158316633,83.86773547094188,69.13827655310621,0.9640615818733327,0.6000241519606653
2327,0.10796340075869283,0.36910087182914875,43.38677354709419,54.10821643286573,66.93386773547094,81.3627254509018,0.995351902672734,0.6394052384722176
2737,-0.00525478419437074,0.10691105275955148,97.69539078156312,95.29058116232466,85.17034068136272,98.39679358717434,0.7203880042420697,0.3924500258637117
2795,-0.053506225977622605,0.2042201769115495,93.88777555110221,98.89779559118236,83.46693386773546,99.59919839679358,0.8888188722168217,0.40631094224027103
2980,0.023453275690167474,0.07794004684087286,77.85571142284569,97.99599198396794,98.79759519038076,98.79759519038076,0.610193830620321,0.4448887048400851
3338,0.4480518165128835,0.37756970595262584,93.687374749499,92.78557114228457,53.40681362725451,54.50901803607215,0.9473756339091746,0.5463723167700216
3344,0.10456594760536599,0.19498918305643703,61.42284569138277,61.523046092184366,22.344689378757515,39.57915831663327,0.9591593194190173,0.6580653246755339
3368,0.09106936414764091,0.19073456465563124,69.43887775551102,95.19038076152304,94.28857715430863,95.19038076152304,0.8522423757342639,0.45946027612964274
3731,0.17805155516976978,0.4212952693248284,85.77154308617233,88.67735470941884,99.39879759519039,65.7314629258517,0.9107013026223565,0.44497775722152905
