image_id,candidate,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,EfficientNet,SwAV
95,0,0.08607294225244942,0.5740488600846473,91.98396793587175,98.39679358717434,93.9879759519038,98.79759519038076,0.6427635550750196,0.3361247932302188
95,1,-0.2595992566132605,0.5406466837941805,64.52905811623246,95.79158316633266,100.0,90.38076152304609,0.45585247468898693,0.2832699975226227
204,0,-0.029408453666093744,0.11868616745005006,99.79959919839679,100.0,99.59919839679358,99.59919839679358,0.6604663347086275,0.3421636637011364
204,1,-0.19672877583977982,0.18731859841867082,52.90581162324649,98.99799599198397,97.39478957915831,76.75350701402806,0.7719649501038903,0.42308301741594545
318,0,-0.011079374679098012,0.36703005066995986,7.214428857715431,63.326653306613224,15.831663326653306,91.78356713426854,0.9779053945894761,0.5794446939582394
318,1,0.2844567566577833,0.3813826485910146,89.97995991983969,93.9879759519038,26.252505010020037,97.79559118236473,0.9639900192451982,0.6142780172671063
356,0,0.2097196745108416,0.26265969955876056,91.98396793587175,71.9438877755511,89.17835671342685,95.79158316633266,0.8476802410140231,0.5055517838112533
356,1,0.13609124158907135,0.2933159306086297,95.99198396793587,71.14228456913828,35.47094188376754,90.98196392785572,0.959883670407447,0.6319296402812876
425,0,0.15691647172867074,0.19098673889847198,97.79559118236473,99.59919839679358,99.19839679358718,91.18236472945893,0.7649982996771577,0.5571153194318389
425,1,0.058849779770173076,0.20277218798551996,59.719438877755515,98.99799599198397,99.79959919839679,85.37074148296593,0.8139568242429512,0.5899506577652042
458,0,-0.025929986925645146,0.24280671274609134,89.17835671342685,96.19238476953907,98.99799599198397,96.19238476953907,0.841484087942088,0.3756097299109492
458,1,-0.0690105456529676,0.2247557416486502,96.9939879759519,100.0,95.99198396793587,65.33066132264528,0.9264541467238177,0.3956927261625549
637,0,0.2503616734718054,0.41637768884061893,99.79959919839679,89.57915831663327,48.49699398797595,92.78557114228457,0.9356253994850199,0.5007006896563455
637,1,0.1801995560447891,0.38945974797163885,94.78957915831663,59.519038076152306,67.33466933867736,16.63326653306613,0.9816808350207121,0.5640418273976016
709,0,-0.06475637295692958,0.21118063094567066,24.248496993987974,73.34669338677354,77.75551102204409,94.78957915831663,0.7434053094350441,0.5426391494525327
