image_id,candidate,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,EfficientNet,SwAV
95,0,0.04940226740011855,0.5922040479866444,91.98396793587175,98.59719438877755,94.18837675350701,98.19639278557113,0.6331140539191326,0.3156674355664061
95,1,-0.25128912839882744,0.5473911633105121,85.77154308617234,98.19639278557113,100.0,97.39478957915831,0.45254872675720814,0.2665736887471368
204,0,-0.061954658365588944,0.12256016492714344,99.79959919839679,100.0,100.0,99.19839679358718,0.6584800182279558,0.3133919409759113
204,1,-0.2240438443742115,0.1887102709440005,69.73947895791584,99.19839679358718,96.19238476953907,77.75551102204409,0.8548433735976491,0.4485542755142977
318,0,-0.014341149838160023,0.3840184304800405,5.410821643286573,58.517034068136276,16.63326653306613,89.97995991983969,0.9897883937727086,0.5738046109222629
318,1,0.2803812526338511,0.3901885012874333,90.18036072144288,93.5871743486974,31.863727454909817,98.39679358717434,0.9641980989881915,0.6160649363473629
356,0,0.1806477750995756,0.2629495688647614,89.57915831663327,45.09018036072144,86.37274549098196,96.39278557114228,0.8168841087692233,0.563154984217981
356,1,0.0874153444104698,0.28116398018773553,93.9879759519038,57.51503006012024,73.14629258517033,91.98396793587175,0.9772066342548753,0.6274689544200778
425,0,0.13926723616642797,0.19822692780468934,95.79158316633266,99.19839679358718,98.79759519038076,84.3687374749499,0.7972776090913425,0.550646884888027
425,1,0.07247733559648599,0.20522190767102003,61.923847695390776,98.79759519038076,99.39879759519037,83.16633266533067,0.8387687245931051,0.5565441558303617
458,0,-0.019086277683776794,0.23739551381608423,81.56312625250501,88.97795591182364,99.19839679358718,93.5871743486974,0.7819233338751093,0.3045794656617099
458,1,-0.07365723955331815,0.2326069110078719,95.79158316633266,100.0,94.38877755511022,62.124248496993985,0.9027932429677628,0.4168236536344371
637,0,0.2457044352979708,0.41832529176114386,99.39879759519037,89.97995991983969,54.50901803607214,79.15831663326654,0.8872004737851197,0.5072616401776312
637,1,0.17479927569278914,0.40227914757161976,96.19238476953907,63.52705410821643,60.320641282565134,57.11422845691383,0.9630600250206488,0.5666114623918699
709,0,-0.06202947840159661,0.21732469026411574,20.64128256513026,70.94188376753507,60.72144288577155,95.19038076152304,0.7621548169219206,0.525532662408202
709,1,-0.009783332692063083,0.2822297384055072,29.258517034068138,77.75551102204409,100.0,97.1943887775551,0.5113256239731019,0.5001527610476896
868,0,-0.13151804659295482,0.0786706477136365,39.278557114228455,93.3867735470942,39.478957915831664,66.13226452905812,0.9937579893313304,0.5308059531914875
868,1,0.06644495910371905,0.0680882562833337,87.7755511022044,64.12825651302605,34.66933867735471,62.725450901803605,1.0169541930882386,0.5441157531877461
1015,0,0.05354963703651714,0.5933684288005717,99.79959919839679,96.59318637274549,97.39478957915831,98.99799599198397,0.43152842108308453,0.5047404348691064
1015,1,-0.23883379674331706,0.5357887140002034,94.78957915831663,93.3867735470942,98.19639278557113,98.59719438877755,0.51467277649879,0.42649138418547394
1288,0,0.4429173957596974,0.3726446637471913,97.59519038076152,100.0,94.58917835671342,92.98597194388778,0.8332524186369472,0.30658017808001603
1288,1,0.48272131276448815,0.40442577483601533,98.79759519038076,98.39679358717434,99.39879759519037,99.79959919839679,0.6440212449666529,0.2690279881892801
1589,0,0.08358123977669112,0.24970838343882434,64.32865731462925,79.75951903807615,96.39278557114228,65.13026052104209,0.7538414513709426,0.4760191026837596
1589,1,-0.24330350111135138,0.21605368652706575,51.503006012024045,94.38877755511022,80.16032064128257,90.18036072144288,0.860291018978935,0.46149390391553946
1744,0,0.6446297736671641,0.4051862614332323,98.19639278557113,99.79959919839679,99.79959919839679,100.0,0.7085555084870491,0.2938227065318596
1744,1,0.6465888915068466,0.38825844405095056,97.39478957915831,95.79158316633266,100.0,99.59919839679358,0.758699827132671,0.3389605939327194
1818,0,-0.05945430377687809,0.09505633747700022,78.95791583166333,70.14028056112225,92.78557114228457,57.11422845691383,0.9859104789138649,0.6293253966096127
1818,1,-0.1706917438966725,0.09773632565594063,27.85571142284569,58.31663326653307,64.92985971943888,82.76553106212425,1.0034368287101876,0.6208767750122666
2070,0,-0.007573105726879475,0.207897670094282,66.53306613226452,57.31462925851704,96.9939879759519,89.77955911823648,0.6498657328682158,0.4561732224892633
2070,1,0.05221930100547429,0.23967273064724512,30.26052104208417,77.35470941883767,97.39478957915831,96.39278557114228,0.6147020088927635,0.5130868188484777
2125,0,0.23491814536978206,0.3465437304630492,72.54509018036072,96.19238476953907,85.17034068136272,98.39679358717434,0.9573234244058767,0.5142625887872332
2125,1,-0.0627124865090214,0.3593206676538476,48.897795591182366,94.98997995991984,76.35270541082164,27.25450901803607,0.9917946835001892,0.6316174438525768
2327,0,0.298260811490795,0.40371010389075673,79.75951903807615,58.31663326653307,65.7314629258517,86.57314629258516,0.9030789477151894,0.6098114176367317
2327,1,-0.0631863696299815,0.3727717698489689,35.47094188376754,49.298597194388776,67.53507014028057,78.75751503006012,1.005077711002518,0.6603195663778838
2737,0,-0.018312472869358144,0.10200794727800543,98.39679358717434,96.19238476953907,55.71142284569138,96.79358717434869,0.9917942009151625,0.54438122937421
2737,1,0.028614162068786423,0.10619732113156621,99.79959919839679,100.0,100.0,98.59719438877755,0.44291514938529675,0.2321632638016683
2795,0,-0.1424120239158798,0.18574110250298842,92.98597194388778,97.79559118236473,32.86573146292585,99.79959919839679,0.9484838896330836,0.4835461559833004
2795,1,-0.01377319085926846,0.22747793694630497,83.36673346693387,99.79959919839679,98.99799599198397,99.79959919839679,0.7858302445955071,0.3380498590601041
2980,0,-0.023752135982389743,0.07414047063923583,52.705410821643284,95.19038076152304,97.1943887775551,97.39478957915831,0.8432710273721161,0.6517308588869106
2980,1,0.06729510251828416,0.07944653739581681,100.0,100.0,99.79959919839679,100.0,0.39950581377702965,0.2768880923393112
3338,0,0.49330461882184096,0.4065648518769516,98.99799599198397,99.79959919839679,98.39679358717434,93.78757515030061,0.844577459616037,0.42177544487503005
3338,1,0.45946447527073786,0.37247015621615925,92.78557114228457,88.97795591182364,60.120240480961925,65.7314629258517,0.9542087305307244,0.6096273427776491
