split,phase,image_id,donor_id,candidate,changed_pixel_mae,clip_target_cosine_advantage,pixcorr_advantage,ssim_advantage
train,bf16,16584,40682,0,0.3143254747577743,0.01313769817352295,-0.14397988187337682,0.007112188992961746
train,bf16,16584,40682,1,0.29662345437442555,0.09932148456573486,-0.12893031972980268,-0.0015340810100094582
train,bf16,40682,38942,0,0.27507083867889603,0.3342200517654419,0.5222293178469407,0.032916657839490215
train,bf16,40682,38942,1,0.23147619908152073,0.3531060516834259,0.6594220605269058,0.019418655855915123
train,bf16,38942,4905,0,0.23746471031039376,-0.06035047769546509,0.11285599903695566,0.01611351938270056
train,bf16,38942,4905,1,0.23928244098339194,0.05398058891296387,-0.07811258663623019,0.05538921858956691
train,bf16,4905,17344,0,0.22045617695727382,0.06361520290374756,0.2206123360853213,-0.08200613687582547
train,bf16,4905,17344,1,0.26205053890452673,0.14846372604370117,0.21013596881926294,-0.12713699086005664
train,bf16,17344,32725,0,0.22656752143810002,0.31467536091804504,0.157491475694142,0.09665699712651636
train,bf16,17344,32725,1,0.22865274965373514,0.21861332654953003,-0.04552716021110244,0.1038841216245074
train,bf16,32725,28449,0,0.27366901971156304,0.402626097202301,0.8688241672043001,-0.0071564974896665134
train,bf16,32725,28449,1,0.29103318258048655,0.3235388398170471,0.9729323690601317,0.013036643941602338
train,bf16,28449,4723,0,0.2455908183178871,0.017376840114593506,0.051136350867710234,0.192312376054401
train,bf16,28449,4723,1,0.20741786582797184,0.11621487140655518,0.3284624532719664,0.08576181320559473
train,bf16,4723,70126,0,0.2284679936427696,0.1077243983745575,-0.18836260122890666,0.00898471257116884
train,bf16,4723,70126,1,0.2273452110539854,0.06855040788650513,0.036030275913029965,0.011318525635087562
train,bf16,70126,26393,0,0.20853635999891504,0.1496465802192688,0.009630079519648338,-0.03288948527214858
train,bf16,70126,26393,1,0.1968350479026247,0.15988582372665405,-0.20511179782599634,-0.049256024791258235
train,bf16,26393,33748,0,0.1780231201570798,0.18572789430618286,-0.11375368390978528,0.1924805936001729
train,bf16,26393,33748,1,0.22225914250791456,0.21154814958572388,-0.175880144099672,0.14458184525017354
train,bf16,33748,57293,0,0.2633707333234401,0.3858907222747803,0.6073781003228858,0.18010971971525894
train,bf16,33748,57293,1,0.3146932464799071,0.3960915207862854,0.6716860072547196,0.18557152568109475
train,bf16,57293,20217,0,0.22278647329293033,0.1846444010734558,-0.19749584982388024,-0.06133767595813994
train,bf16,57293,20217,1,0.20288978028141602,0.11169606447219849,-0.013976775797638064,0.015575267463460163
train,bf16,20217,15879,0,0.20326875175525938,0.2473832666873932,0.05070005979116865,0.07928910480894263
train,bf16,20217,15879,1,0.21641310648201342,0.13044089078903198,-0.019486120834718117,-0.020589853411572878
train,bf16,15879,69036,0,0.28783281613019557,0.23889920115470886,-0.16234176040865628,-0.017550317976970625
train,bf16,15879,69036,1,0.3111552718418096,0.13175052404403687,-0.19939294862839962,0.02944755526333412
