split,phase,image_id,donor_id,candidate,guidance,condition,path,sha256,noise_sha256,clip_target_cosine,clip_donor_cosine,pixcorr,ssim
train,bf16,17344,32725,1,4.0,correct,g4-correct/17344-1.png,edf65e7d07a98b54e3fe66784e0205af6c9d96916a453f4f565c100cf91a53cf,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,0.7142410278320312,0.5702118873596191,0.022927177391372896,0.21479218680121512
train,bf16,17344,32725,0,4.0,wrong,g4-wrong/17344-0.png,8da212e06fd35ba238bbe2e03d5492ce62b2175447f66ddef98a4e620c80c57e,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,0.4542783200740814,0.8622584342956543,0.015426712906364534,0.11644689570914858
train,bf16,17344,32725,1,4.0,wrong,g4-wrong/17344-1.png,e88a704a14feb0ec79b7347bdd38266c9bca58342b7eb79b8e036b169d3acdc6,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,0.4956277012825012,0.7570681571960449,0.06845433760247534,0.11090806517670772
train,bf16,32725,28449,0,4.0,correct,g4-correct/32725-0.png,4994238a987b57ac48795a4cbdb1effd5a9ede16d6054ceece532e9a28378fa0,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,0.9060716032981873,0.5464368462562561,0.47576913329659654,0.1626789296972921
train,bf16,32725,28449,1,4.0,correct,g4-correct/32725-1.png,5d0c1c43971f775c6208c1a52795860e13d4e9511bd65fd3bff02fe958505752,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,0.8719949126243591,0.5839879512786865,0.4697401807124765,0.16983241582058714
train,bf16,32725,28449,0,4.0,wrong,g4-wrong/32725-0.png,96edcc5afd96625ac47ca652a64b8699dd3e47e0ce70dd34b23f9eeec0c40a56,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,0.5034455060958862,0.5608576536178589,-0.3930550339077036,0.16983542718695863
train,bf16,32725,28449,1,4.0,wrong,g4-wrong/32725-1.png,39d55432defff47e6a2703a1189524e09447d9727eddd1ad32b04f7d38dc7a1a,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,0.548456072807312,0.5939596891403198,-0.5031921883476552,0.1567957718789848
train,bf16,28449,4723,0,4.0,correct,g4-correct/28449-0.png,e13be589e8dff0bcb1f74df671b1babd2d40a62bc15e4a97d7c2ea3e95daf0b1,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,0.6204228401184082,0.5470775365829468,-0.08996212761781794,0.472642412675288
train,bf16,28449,4723,1,4.0,correct,g4-correct/28449-1.png,f08bb26051691a2030afdd2047a6beabc7237f00dad16f7599d0dae5a1188175,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,0.5795485973358154,0.5001824498176575,0.2697637861314575,0.4327164710537159
train,bf16,28449,4723,0,4.0,wrong,g4-wrong/28449-0.png,b8fe9bcd1d5c7e8f2bdffd39a927daf3a0d73419c71c0b20659a0f942327e0cb,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,0.6030460000038147,0.7205125093460083,-0.14109847848552817,0.280330036620887
