image_id,timestep,correct_mse,wrong_mse,delta_mse
16584,800,0.017017167061567307,0.017604443710297346,0.0005872766487300396
40682,800,0.01604802394285798,0.016889815218746662,0.0008417912758886814
38942,800,0.01468866248615086,0.015092773595824838,0.0004041111096739769
4905,800,0.01781906047835946,0.018537857569754124,0.0007187970913946629
17344,800,0.010338629130274057,0.010921241482719779,0.0005826123524457216
32725,800,0.018119484651833773,0.018583988305181265,0.0004645036533474922
28449,800,0.013528238283470273,0.01417218311689794,0.0006439448334276676
4723,800,0.014489755965769291,0.014834068948403,0.0003443129826337099
70126,800,0.015316942008212209,0.01582102058455348,0.0005040785763412714
26393,800,0.016255177091807127,0.016994004137814045,0.000738827046006918
33748,800,0.016303647309541702,0.017218940891325474,0.0009152935817837715
57293,800,0.018185672350227833,0.0185227133333683,0.0003370409831404686
20217,800,0.016541085205972195,0.016909892205148935,0.00036880699917674065
15879,800,0.02123588602989912,0.022747058887034655,0.0015111728571355343
69036,800,0.013268857728689909,0.013862489722669125,0.0005936319939792156
3625,800,0.02108294516801834,0.0220972984097898,0.0010143532417714596
23696,800,0.014626939548179507,0.01464413059875369,1.7191050574183464e-05
44010,800,0.01633187336847186,0.016817127354443073,0.0004852539859712124
21652,800,0.017901165410876274,0.01860017003491521,0.0006990046240389347
6970,800,0.010692110983654857,0.011207525618374348,0.000515414634719491
35190,800,0.01704725343734026,0.017586711794137955,0.0005394583567976952
50780,800,0.014413492986932397,0.016210781875997782,0.0017972888890653849
45620,800,0.01711445488035679,0.018037456087768078,0.0009230012074112892
27323,800,0.017234343104064465,0.01771389553323388,0.00047955242916941643
51581,800,0.01575506292283535,0.01639274088665843,0.0006376779638230801
7163,800,0.017060372047126293,0.01749363075941801,0.00043325871229171753
50828,800,0.008414040552452207,0.009374331217259169,0.000960290664806962
53785,800,0.015768352895975113,0.016818690113723278,0.0010503372177481651
1851,800,0.016161462757736444,0.01684987312182784,0.0006884103640913963
29558,800,0.020424464251846075,0.020667100325226784,0.0002426360733807087
59471,800,0.019378576427698135,0.01972833927720785,0.00034976284950971603
59462,800,0.01726852124556899,0.01774837914854288,0.0004798579029738903
