checkpoint,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim
106250,train,17344,32725,wrong,1,wrong/17344-1.png,c496c02cddaf43569d1b6409d89f4d74c829b6b505a045108f4a5edb69b398e0,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,4,0.4364645183086395,-0.1285571836141845,0.11544464282870949
106250,train,32725,28449,correct,0,correct/32725-0.png,a4af6f7e1f78f5080ad8f5cba4509284ca901d5d4b21c9d52a3289a7fc84b229,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.8034349679946899,0.43547243144864645,0.1487211068946452
106250,train,32725,28449,correct,1,correct/32725-1.png,43a61290b5a28a6082efee1f56912b082a5d2c92031e2930b07226b5fa2fb2bf,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.8148331642150879,0.2976882708706384,0.1817813375073399
106250,train,32725,28449,wrong,0,wrong/32725-0.png,0b0e93f8237f7cdb2087fac4fec01f455e36b27e294c6a612827d5b70ac88a59,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.6092094779014587,-0.28188185709683244,0.1855142652594086
106250,train,32725,28449,wrong,1,wrong/32725-1.png,0f3dc959940ba75f5d122d66fdaef24c03564afd088a08f37844a0db174ea4ab,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.5857521891593933,0.07417172292289391,0.19912488046481272
106250,train,28449,4723,correct,0,correct/28449-0.png,69ff97a15bfd6ba5daf07e36bb242a317ca82fd8243884d2b2b6b4617141ee84,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.6207325458526611,-0.17374361507395378,0.4877618355968339
106250,train,28449,4723,correct,1,correct/28449-1.png,5b2525b78cc2d3e5e6297430f379b1471e2ef6fcfbbc34295f292441302d9325,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.5594317317008972,-0.4788795822246733,0.4459703563549093
106250,train,28449,4723,wrong,0,wrong/28449-0.png,5bb00a6d6eb0dd66c255cf332011630d84f73363fb909a4c34f1b4267fe801c2,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.5414775609970093,-0.09219161549057181,0.3285444868367999
106250,train,28449,4723,wrong,1,wrong/28449-1.png,f96d8a0c6320ebaf8353212d3b795ba0b7dbcdfe505d81c1ac2d14a9e749826b,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.5138338804244995,-0.12325047647538293,0.38180894597785603
106250,train,4723,70126,correct,0,correct/4723-0.png,5d2e25ea05a163b636519b845ff6660dc6406b613c072f2da6c46a8e5b411922,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.5974981188774109,0.07052591958115287,0.3135818650476998
106250,train,4723,70126,correct,1,correct/4723-1.png,790a7ac20f050f0177853ddaca766e4584ef8ff29c2caa6ba8152d17646ba8bb,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.6302490234375,-0.08167620204209242,0.3083052372268266
106250,train,4723,70126,wrong,0,wrong/4723-0.png,038c01a81770169f33c18bece78c744a47bc54e4c0a52619793aad2134981944,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.5097203254699707,0.007176633494441302,0.42550158765808677
106250,train,4723,70126,wrong,1,wrong/4723-1.png,394ba94650e8fbe44f248ec219a7942889e69058da43b0ff4fdfeade022d7462,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.5573710799217224,-0.03021846434749836,0.28373767180819126
