checkpoint,split,image_id,donor_id,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip,gt_donor_clip,rms,extreme_fraction_train_5sd,raw_repeat_corr,centered_repeat_corr,different_image_raw_corr,centered_repeat_specificity,lh_repeat_specificity,rh_repeat_specificity,session_1,session_2,session_3,quality_stratum
106250,train,16584,40682,0.5795314908027649,0.007403817584836096,0.08329136966582787,0.5669204890727997,0.16162121257917245,0.10295805148300358,0.01261100172996521,0.44129741191864014,1.8966447281575172,0.0,0.5782062046384913,0.07027111871716797,0.5302420804876399,0.05655306237484784,0.09329974075354991,0.017199825760683202,21,22,22,0
106250,train,40682,38942,0.669077605009079,0.5538802708488153,0.453294627113576,0.4272264242172241,0.08497714743004395,0.3915704298008533,0.24185118079185486,0.461399644613266,2.449197976624797,0.0,0.7108788599062311,0.22919710489621345,0.594405393010645,0.2458494637944899,0.31639356134558577,0.18845997742795828,12,13,38,1
106250,train,38942,4905,0.6976763308048248,0.11257496964477089,0.3630789788257702,0.5803281664848328,0.09096584826842483,0.287487984895949,0.11734816431999207,0.5387775301933289,2.0148990104815434,0.0,0.6592876725258824,0.270218336666286,0.5538461131328944,0.09922827416069446,0.06449053485980343,0.11457435210001814,19,19,34,0
106250,train,4905,17344,0.6773329675197601,-0.007170231853231733,0.25265786199122203,0.4732405096292496,-0.013408582044016794,0.34575580343121015,0.20409245789051056,0.4569139778614044,2.1978279791330295,1.8936883367735337e-05,0.6632179800026249,0.15791557384298346,0.5667948454479237,0.20254190318610968,0.15672116316390114,0.2330571102235032,4,17,27,1
106250,train,17344,32725,0.5967923104763031,0.11558424642505435,0.20063141221163933,0.505982831120491,-0.13902526758359895,0.12360056731831046,0.09080947935581207,0.5340123772621155,2.0833607408662407,0.0,0.6669194624489126,0.35487307810460944,0.5740451648710789,0.30592694586331975,0.2654914225121007,0.3490495897751919,39,40,40,2
106250,train,32725,28449,0.8091340661048889,0.36658035115964244,0.16525122220099256,0.597480833530426,-0.10385506708696926,0.19231957286211065,0.2116532325744629,0.5462282299995422,1.5510208526212081,0.0,0.43839366816257685,0.09834185774668404,0.4905294263697741,0.13091770995032453,0.18229419023427273,0.08516491664699644,25,31,37,0
106250,train,28449,4723,0.5900821387767792,-0.32631159864931353,0.4668660959758716,0.5276557207107544,-0.10772104598297737,0.35517671640732795,0.06242641806602478,0.583830714225769,1.7894866696467866,0.0,0.6017180934062717,0.3801653201309745,0.3531410451629468,0.49058112886343674,0.4572434719499956,0.45369540395280233,30,31,31,2
106250,train,4723,70126,0.6138735711574554,-0.005575141230469774,0.31094355113726324,0.5335457026958466,-0.01152091542652853,0.354619629733139,0.08032786846160889,0.6227443218231201,1.971276550655897,0.0,0.6165934922915546,0.21065720376227928,0.5382111232892988,0.2632972781243073,0.2322210312642258,0.29043205865867744,36,36,37,2
106250,train,70126,26393,0.5923387706279755,-0.05075252374131071,0.3067633684155961,0.49554258584976196,-0.06163639542836016,0.30151377191002804,0.0967961847782135,0.487892210483551,1.9146693826703924,0.0,0.5871449242762595,0.08851482863027614,0.5059936693379324,0.12997413904747968,0.06370275714020494,0.17152837782297306,14,25,26,0
106250,train,26393,33748,0.7139899134635925,0.08015087270467763,0.4695105033017112,0.4978567212820053,0.2662233595753787,0.393339583194081,0.21613319218158722,0.6142333745956421,1.674310208441951,0.0,0.5901675930643006,0.21078455742182742,0.37604817316032796,0.2800255933882442,0.29985446750779793,0.26138782612528505,27,27,29,2
