image_id,timestep,correct_mse,wrong_mse,delta_mse
16584,500,0.10548540391027927,0.11134611070156097,0.0058607067912817
40682,500,0.08773736841976643,0.09588859230279922,0.008151223883032799
38942,500,0.0828771349042654,0.08440259285271168,0.0015254579484462738
4905,500,0.10077883489429951,0.10545529797673225,0.004676463082432747
17344,500,0.0559229226782918,0.058581105433404446,0.002658182755112648
32725,500,0.10258330218493938,0.11221719346940517,0.00963389128446579
28449,500,0.08263191394507885,0.08689313009381294,0.004261216148734093
4723,500,0.09430772252380848,0.09693807549774647,0.0026303529739379883
70126,500,0.08569269813597202,0.09077922627329826,0.0050865281373262405
26393,500,0.09084508195519447,0.09702510200440884,0.006180020049214363
33748,500,0.09583492018282413,0.10830486938357353,0.012469949200749397
57293,500,0.12422313913702965,0.13072625547647476,0.006503116339445114
20217,500,0.10096842795610428,0.10464679077267647,0.0036783628165721893
15879,500,0.1099770050495863,0.1195103544741869,0.009533349424600601
69036,500,0.07615865021944046,0.0823589526116848,0.006200302392244339
3625,500,0.11837686412036419,0.12462057173252106,0.006243707612156868
23696,500,0.08752883598208427,0.09424454346299171,0.00671570748090744
44010,500,0.08313648961484432,0.08991536684334278,0.006778877228498459
21652,500,0.08646908029913902,0.09364684112370014,0.007177760824561119
6970,500,0.05023561790585518,0.05687242280691862,0.006636804901063442
35190,500,0.11442308500409126,0.12200375832617283,0.007580673322081566
50780,500,0.08012702874839306,0.09299995191395283,0.012872923165559769
45620,500,0.08368643186986446,0.09109947085380554,0.007413038983941078
27323,500,0.08318566903471947,0.09452811069786549,0.011342441663146019
51581,500,0.08865415677428246,0.09381924197077751,0.005165085196495056
7163,500,0.09862576238811016,0.10902318172156811,0.010397419333457947
50828,500,0.0501839704811573,0.054876319132745266,0.004692348651587963
53785,500,0.10337293893098831,0.11054091900587082,0.007167980074882507
1851,500,0.11127332970499992,0.11465932615101337,0.0033859964460134506
29558,500,0.1370963603258133,0.13951649889349937,0.002420138567686081
59471,500,0.0993852075189352,0.10726791620254517,0.007882708683609962
59462,500,0.08186947926878929,0.08941500261425972,0.0075455233454704285
