image_id,timestep,correct_mse,wrong_mse,delta_mse
16584,200,0.3470955491065979,0.34858129918575287,0.0014857500791549683
40682,200,0.2568223439157009,0.2591789960861206,0.002356652170419693
38942,200,0.2538857161998749,0.2548649311065674,0.0009792149066925049
4905,200,0.29794588685035706,0.30195751786231995,0.004011631011962891
17344,200,0.19158906117081642,0.19411828368902206,0.0025292225182056427
32725,200,0.30433952808380127,0.30793239176273346,0.00359286367893219
28449,200,0.2805032283067703,0.2823173478245735,0.0018141195178031921
4723,200,0.3141091465950012,0.3152259439229965,0.0011167973279953003
70126,200,0.2854906842112541,0.2878795340657234,0.0023888498544692993
26393,200,0.26350148022174835,0.26710058003664017,0.003599099814891815
33748,200,0.30306001752614975,0.3088298812508583,0.005769863724708557
57293,200,0.3174576759338379,0.3203892707824707,0.0029315948486328125
20217,200,0.31487083435058594,0.31608424335718155,0.0012134090065956116
15879,200,0.2830681949853897,0.28622420877218246,0.003156013786792755
69036,200,0.2582615688443184,0.25954123586416245,0.0012796670198440552
3625,200,0.32336191087961197,0.3270210325717926,0.0036591216921806335
23696,200,0.2574315220117569,0.26090269535779953,0.003471173346042633
44010,200,0.2485760897397995,0.2507019191980362,0.0021258294582366943
21652,200,0.2019798792898655,0.20539559051394463,0.003415711224079132
6970,200,0.16260597854852676,0.16593898832798004,0.0033330097794532776
35190,200,0.3648032918572426,0.36610426753759384,0.0013009756803512573
50780,200,0.25173667818307877,0.2565653696656227,0.004828691482543945
45620,200,0.256730780005455,0.2605476826429367,0.0038169026374816895
27323,200,0.2473190613090992,0.2542079910635948,0.006888929754495621
51581,200,0.24460362270474434,0.24769184738397598,0.0030882246792316437
7163,200,0.30247224122285843,0.30775846540927887,0.005286224186420441
50828,200,0.19566500931978226,0.19984888285398483,0.004183873534202576
53785,200,0.3323978930711746,0.3358879014849663,0.0034900084137916565
1851,200,0.3719215765595436,0.37390945106744766,0.0019878745079040527
29558,200,0.364154577255249,0.36558256298303604,0.0014279857277870178
59471,200,0.2623148411512375,0.2661392167210579,0.003824375569820404
59462,200,0.24733172357082367,0.2498173490166664,0.002485625445842743
