label,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim,model_sha256
B0,train,17344,32725,wrong,1,wrong/17344-1.png,b3a7cff5456813a5fbc8f51caccfe44f6efc62788e0e2b36ef4dbd78a2ca656d,d75f90f3c918af7779f08413e1b2dfa9f0b7ab7532546f74ce58b50b36b8817d,4,0.4652801752090454,0.049171438253022906,0.09040380091634469,
B0,train,32725,28449,correct,0,correct/32725-0.png,3173239a460ebd9eee68bb1a1bdaa0a1b5b2d6d762d6438c854f254ebea3bc16,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.8379642963409424,0.4481025446898564,0.16594947285414502,
B0,train,32725,28449,correct,1,correct/32725-1.png,f1d06f0c9450cbdaa98d563e6aee5646d453d3de308a4893e584bb1474ab78d5,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.8049273490905762,0.3221057082425239,0.15325515188040578,
B0,train,32725,28449,wrong,0,wrong/32725-0.png,7a7646ed146e8a966299e52b9f9ece4e48ef66827ae3d57c181d2ad22ae4b972,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.6356120109558105,0.1374368525347436,0.18922880746335982,
B0,train,32725,28449,wrong,1,wrong/32725-1.png,3db866e902fdc7c7f0369eb1a6b9dd7cae6770d130f82409bc83d5d1a3ab696a,30cb1309cb356060719cfdd1a31df932276e218be091252aa0a0840e43a975a0,4,0.5513570308685303,-0.033219175560984124,0.19129803491191869,
B0,train,28449,4723,correct,0,correct/28449-0.png,c2c3febcbae195a58088e918946fa5eb3707e37e99c79e03e4c3e34590221d73,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.5490641593933105,-0.18517466804887825,0.4676054656171757,
B0,train,28449,4723,correct,1,correct/28449-1.png,ed063e3ec9c95e9fbf3a08948e808d69693074d60a939b90c5f5ce4300f1733e,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.6068927645683289,-0.388188501959989,0.4356644617384782,
B0,train,28449,4723,wrong,0,wrong/28449-0.png,60060b84b1302fbe41630f42ac18696c6d27be087cc39a2a3b5599d1cca331dd,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.49632489681243896,-0.05357347863917835,0.3172886992274375,
B0,train,28449,4723,wrong,1,wrong/28449-1.png,9a2103fe82ff929a8c0d9924a03310cc9662ec6e426a3cce720b97fd4305146b,90d88f3ceba98dfa2fef3ccc0ef7371f2f798a6d92f3a246b5683fc6f9692144,4,0.5008411407470703,-0.16624376819340358,0.3417763076871722,
B0,train,4723,70126,correct,0,correct/4723-0.png,a7c4a7ac1bf8914f5b10c8c838d34ef611c0b01f154f871f829ea747d663dcee,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.5301289558410645,0.1231879663221742,0.3101833250960541,
B0,train,4723,70126,correct,1,correct/4723-1.png,8014c1f4c93e3668d57fd980e41148666462305d628e0e0289e74a39f39e9809,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.5975537300109863,-0.04547873904127467,0.2954626251625158,
B0,train,4723,70126,wrong,0,wrong/4723-0.png,f72ad4eddfe20fb4d353b895075a5678d75a67efd8c676240e0c82d9dff6b77e,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.4879809617996216,0.08622425774884022,0.4078123478864414,
B0,train,4723,70126,wrong,1,wrong/4723-1.png,5327b84b06ba8c0a16317c4fbe4693987cf3eddbb92a0608f8e684564a56dffd,9b2d92a8a3a0047433a0e8cca9e67818d62ddbeef410226b718fcc0322330a93,4,0.5381977558135986,-0.06222867670455046,0.32388720788089054,
B0,train,70126,26393,correct,0,correct/70126-0.png,4b0f228a03efa57d9565b7ea50dab76f237eaa1d74f037a90c6bdc718d5e66f1,771c06d63c9d651090499055b39e8c422b32ab0e89b8878983be0d8b35226c9d,4,0.6169348955154419,0.0450971280762278,0.288388230738124,
