label,split,image_id,donor_id,correct_clip,correct_pixcorr,correct_ssim,wrong_clip,wrong_pixcorr,wrong_ssim,advantage_clip
B0,train,16584,40682,0.5512536764144897,-0.008600101559762856,0.08096723233331976,0.5098287463188171,0.1870204602303405,0.10211373397058496,0.04142493009567261
B0,train,40682,38942,0.7784488797187805,0.5999345559222491,0.4450178989151924,0.450112909078598,0.010068851416752853,0.41698184367767577,0.3283359706401825
B0,train,38942,4905,0.6975971460342407,0.10812880597088934,0.3786414087118707,0.5585033297538757,0.06441133693680716,0.32637131292143007,0.139093816280365
B0,train,4905,17344,0.679763913154602,0.01870305255613926,0.2496870301143948,0.4588572829961777,0.03537554764557157,0.36561465084203104,0.22090663015842438
B0,train,17344,32725,0.6138971149921417,0.08095188866192132,0.19026108196698527,0.5026115775108337,0.004525990460409596,0.10793050226351741,0.11128553748130798
B0,train,32725,28449,0.8214458227157593,0.38510412646619013,0.1596023123672754,0.5934845209121704,0.05210883848687974,0.19026342118763925,0.22796130180358887
B0,train,28449,4723,0.5779784619808197,-0.28668158500443364,0.45163496367782696,0.49858301877975464,-0.10990862341629097,0.3295325034573049,0.07939544320106506
B0,train,4723,70126,0.5638413429260254,0.038854613640449766,0.30282297512928497,0.5130893588066101,0.01199779052214488,0.36584977788366596,0.05075198411941528
B0,train,70126,26393,0.6309094727039337,-0.053194205710816865,0.28760815122750727,0.475827619433403,-0.11633614990631838,0.30979605909868346,0.1550818532705307
B0,train,26393,33748,0.7323204576969147,-0.009176526216687724,0.5516975482846878,0.5488744080066681,0.2716144444365113,0.38126082663555777,0.18344604969024658
B0,train,33748,57293,0.9031434953212738,0.54377637738184,0.3039860873058653,0.5315552055835724,0.11485033839119069,0.19829862098919349,0.3715882897377014
B0,train,57293,20217,0.7488582134246826,0.06371980143011259,0.21610577295988753,0.5645051598548889,-0.21055576199554255,0.2106193209902095,0.1843530535697937
B0,train,20217,15879,0.6948647499084473,0.07143575005866287,0.2771235601713285,0.6098737120628357,0.06305534293956962,0.3015472225118515,0.08499103784561157
B0,train,15879,69036,0.6882832646369934,0.11352607003715978,0.19850906052152956,0.49943365156650543,0.19804442745827583,0.1631392030454242,0.18884961307048798
B0,train,69036,3625,0.9299004971981049,0.5088744788271753,0.3390748750680412,0.5084178894758224,-0.08800129270281834,0.19469997502844025,0.4214826077222824
B0,train,3625,23696,0.7542043626308441,-0.09358195212786599,0.1716509499883404,0.5368470847606659,-0.15331396975600584,0.2717486853879738,0.21735727787017822
B0,train,23696,44010,0.565497636795044,-0.08975683981512234,0.5614767266536252,0.5332323014736176,-0.04781045713219803,0.46327566271621523,0.03226533532142639
B0,train,44010,21652,0.8156557083129883,0.1093850335450609,0.37798017064194683,0.6423686742782593,0.10256452075225406,0.3176868346379481,0.173287034034729
B0,train,21652,6970,0.7535888850688934,0.1897272013012761,0.28366996654753884,0.5942753851413727,0.11594335377684595,0.3103249294673485,0.15931349992752075
B0,train,6970,35190,0.6538185179233551,-0.2970046157810079,0.5804661344804845,0.491726815700531,-0.14826578409414912,0.5111905810525673,0.1620917022228241
B0,train,35190,50780,0.6734086871147156,-0.004861213313526649,0.18371718970293216,0.4443754106760025,0.09116091033280234,0.1963433505573512,0.22903327643871307
B0,train,50780,45620,0.7257724404335022,0.29267775167280446,0.447521797568743,0.5066015869379044,-0.030439611476848413,0.3232787415480971,0.21917085349559784
B0,train,45620,27323,0.870244711637497,0.20743739640787046,0.32128135246661793,0.5684898197650909,-0.03191813555300673,0.3017834370996948,0.301754891872406
B0,train,27323,51581,0.6111514270305634,0.19299542684922105,0.3436033110311991,0.5821394920349121,-0.020092929062411224,0.3776131422362675,0.029011934995651245
B0,train,51581,7163,0.6250606775283813,-0.03426169490983209,0.37122655009447636,0.5000810921192169,-0.09969472228223064,0.26064643909494895,0.12497958540916443
B0,train,7163,50828,0.6958983838558197,-0.006766671777481919,0.32186671400979355,0.4419806897640228,-0.06648886714279535,0.3307308151929237,0.2539176940917969
B0,train,50828,53785,0.7662473022937775,-0.026674882055910683,0.47376256637825653,0.5389834046363831,0.0073897478785960626,0.3123274055592049,0.2272638976573944
B0,train,53785,1851,0.6059534847736359,0.09143079624823888,0.2917242086188663,0.5037825852632523,-0.25513051610447995,0.2497661673957633,0.1021708995103836
B0,train,1851,29558,0.7412087917327881,0.05121547899636186,0.27188605643101604,0.5885774791240692,0.004314939623466671,0.21748820961553905,0.15263131260871887
B0,train,29558,59471,0.6400905847549438,0.102897848388525,0.16035153313858388,0.5751587152481079,0.05419580107645081,0.19304336845099485,0.06493186950683594
B0,train,59471,59462,0.5844230055809021,0.11404346884144205,0.28251729523715685,0.4397912472486496,-0.01967910049586445,0.2801618885646648,0.1446317583322525
B0,train,59462,16584,0.7937116026878357,-0.02125566846085243,0.24713469336469537,0.5805595517158508,-0.036855078580697295,0.15016633882476582,0.21315205097198486
H1000,train,16584,40682,0.5995253026485443,-0.009614843061574244,0.08273707688199938,,,,
H1000,train,40682,38942,0.7747868299484253,0.5637623442028453,0.43837961703192924,,,,
H1000,train,38942,4905,0.6926552057266235,0.10327121473334257,0.38959383276584114,,,,
H1000,train,4905,17344,0.5765942633152008,0.04209395451453093,0.2878455203869551,,,,
H1000,train,17344,32725,0.6182055175304413,0.10237011584423418,0.1915272883396298,,,,
H1000,train,32725,28449,0.8155134320259094,0.2975310302581521,0.16898143336873334,,,,
H1000,train,28449,4723,0.5732030272483826,-0.1349187764223911,0.44615711334947705,,,,
