/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
H local_update=1220 loss=0.150902 elapsed=759.9s
H local_update=1230 loss=0.122606 elapsed=766.1s
H local_update=1240 loss=0.121031 elapsed=772.3s
H local_update=1250 loss=0.137446 elapsed=778.4s
H local_update=1260 loss=0.083457 elapsed=784.6s
H local_update=1270 loss=0.059471 elapsed=790.7s
H local_update=1280 loss=0.145624 elapsed=796.7s
H local_update=1290 loss=0.100674 elapsed=802.8s
H local_update=1300 loss=0.131479 elapsed=808.9s
H local_update=1310 loss=0.149220 elapsed=814.9s
H local_update=1320 loss=0.083303 elapsed=821.0s
H local_update=1330 loss=0.136380 elapsed=827.1s
H local_update=1340 loss=0.053472 elapsed=833.2s
H local_update=1350 loss=0.093856 elapsed=839.3s
H local_update=1360 loss=0.101469 elapsed=845.5s
H local_update=1370 loss=0.093374 elapsed=851.6s
H local_update=1380 loss=0.078550 elapsed=857.8s
H local_update=1390 loss=0.100597 elapsed=863.9s
H local_update=1400 loss=0.107600 elapsed=870.0s
H local_update=1410 loss=0.127506 elapsed=876.0s
H local_update=1420 loss=0.128797 elapsed=882.1s
H local_update=1430 loss=0.105584 elapsed=888.2s
H local_update=1440 loss=0.077398 elapsed=894.3s
H local_update=1450 loss=0.119203 elapsed=900.5s
H local_update=1460 loss=0.143921 elapsed=906.6s
H local_update=1470 loss=0.120485 elapsed=912.7s
H local_update=1480 loss=0.146563 elapsed=918.8s
H local_update=1490 loss=0.123676 elapsed=924.9s
H local_update=1500 loss=0.127618 elapsed=931.0s
H local_update=1510 loss=0.129952 elapsed=937.1s
H local_update=1520 loss=0.070289 elapsed=943.3s
H local_update=1530 loss=0.105466 elapsed=949.3s
H local_update=1540 loss=0.096641 elapsed=955.4s
H local_update=1550 loss=0.101684 elapsed=961.7s
H local_update=1560 loss=0.133842 elapsed=967.7s
H local_update=1570 loss=0.114426 elapsed=973.8s
H local_update=1580 loss=0.101967 elapsed=980.0s
H local_update=1590 loss=0.113894 elapsed=986.1s
H local_update=1600 loss=0.107258 elapsed=992.3s
H local_update=1610 loss=0.105778 elapsed=998.4s
H local_update=1620 loss=0.117703 elapsed=1004.5s
H local_update=1630 loss=0.100820 elapsed=1010.6s
H local_update=1640 loss=0.147442 elapsed=1016.7s
H local_update=1650 loss=0.117206 elapsed=1022.8s
H local_update=1660 loss=0.100316 elapsed=1028.9s
H local_update=1670 loss=0.117573 elapsed=1035.1s
H local_update=1680 loss=0.091518 elapsed=1041.1s
H local_update=1690 loss=0.138957 elapsed=1047.3s
H local_update=1700 loss=0.104294 elapsed=1053.4s
H local_update=1710 loss=0.111372 elapsed=1059.4s
H local_update=1720 loss=0.102409 elapsed=1065.5s
H local_update=1730 loss=0.107766 elapsed=1071.6s
H local_update=1740 loss=0.125169 elapsed=1077.7s
H local_update=1750 loss=0.105907 elapsed=1083.8s
H local_update=1760 loss=0.094723 elapsed=1090.0s
H local_update=1770 loss=0.127351 elapsed=1096.1s
H local_update=1780 loss=0.117099 elapsed=1102.2s
H local_update=1790 loss=0.116667 elapsed=1108.4s
H local_update=1800 loss=0.168464 elapsed=1114.5s
H local_update=1810 loss=0.063173 elapsed=1120.6s
H local_update=1820 loss=0.062117 elapsed=1126.8s
H local_update=1830 loss=0.081344 elapsed=1132.9s
H local_update=1840 loss=0.094489 elapsed=1139.0s
H local_update=1850 loss=0.145141 elapsed=1145.1s
H local_update=1860 loss=0.113762 elapsed=1151.3s
H local_update=1870 loss=0.074324 elapsed=1157.5s
H local_update=1880 loss=0.121190 elapsed=1163.7s
H local_update=1890 loss=0.113352 elapsed=1169.9s
H local_update=1900 loss=0.105565 elapsed=1175.9s
H local_update=1910 loss=0.155666 elapsed=1182.1s
H local_update=1920 loss=0.177900 elapsed=1188.2s
H local_update=1930 loss=0.100403 elapsed=1194.3s
H local_update=1940 loss=0.104250 elapsed=1200.4s
H local_update=1950 loss=0.080871 elapsed=1206.6s
H local_update=1960 loss=0.134960 elapsed=1212.7s
H local_update=1970 loss=0.126155 elapsed=1218.8s
H local_update=1980 loss=0.090610 elapsed=1225.0s
H local_update=1990 loss=0.103563 elapsed=1231.0s
H local_update=2000 loss=0.129674 elapsed=1237.1s
H local_update=2010 loss=0.125014 elapsed=1243.2s
H local_update=2020 loss=0.091966 elapsed=1249.4s
H local_update=2030 loss=0.069974 elapsed=1255.5s
H local_update=2040 loss=0.075512 elapsed=1261.6s
H local_update=2050 loss=0.127059 elapsed=1267.7s
H local_update=2060 loss=0.116419 elapsed=1273.8s
H local_update=2070 loss=0.073972 elapsed=1279.9s
H local_update=2080 loss=0.152487 elapsed=1286.1s
H local_update=2090 loss=0.114496 elapsed=1292.2s
H local_update=2100 loss=0.081107 elapsed=1298.5s
H local_update=2110 loss=0.055554 elapsed=1304.6s
H local_update=2120 loss=0.082387 elapsed=1310.7s
H local_update=2130 loss=0.144317 elapsed=1316.9s
H local_update=2140 loss=0.129941 elapsed=1322.9s
H local_update=2150 loss=0.127076 elapsed=1329.1s
H local_update=2160 loss=0.095202 elapsed=1335.2s
H local_update=2170 loss=0.095164 elapsed=1341.3s
H local_update=2180 loss=0.142428 elapsed=1347.5s
H local_update=2190 loss=0.068334 elapsed=1353.6s
H local_update=2200 loss=0.086145 elapsed=1359.7s
H local_update=2210 loss=0.138212 elapsed=1365.9s
H local_update=2220 loss=0.096372 elapsed=1372.3s
H local_update=2230 loss=0.115011 elapsed=1378.4s
H local_update=2240 loss=0.137666 elapsed=1384.6s
H local_update=2250 loss=0.158371 elapsed=1390.7s
H local_update=2260 loss=0.147655 elapsed=1396.8s
H local_update=2270 loss=0.127194 elapsed=1403.0s
H local_update=2280 loss=0.070990 elapsed=1409.2s
H local_update=2290 loss=0.088922 elapsed=1415.3s
H local_update=2300 loss=0.138981 elapsed=1421.5s
H local_update=2310 loss=0.073194 elapsed=1427.7s
H local_update=2320 loss=0.079777 elapsed=1433.8s
H local_update=2330 loss=0.137150 elapsed=1439.9s
H local_update=2340 loss=0.140001 elapsed=1446.0s
H local_update=2350 loss=0.091501 elapsed=1452.1s
H local_update=2360 loss=0.123724 elapsed=1458.3s
H local_update=2370 loss=0.084416 elapsed=1464.5s
H local_update=2380 loss=0.087130 elapsed=1470.6s
H local_update=2390 loss=0.133282 elapsed=1476.7s
H local_update=2400 loss=0.109659 elapsed=1482.9s
H local_update=2410 loss=0.124684 elapsed=1489.1s
H local_update=2420 loss=0.113592 elapsed=1495.2s
H local_update=2430 loss=0.090084 elapsed=1501.3s
H local_update=2440 loss=0.122440 elapsed=1507.4s
H local_update=2450 loss=0.117523 elapsed=1513.6s
H local_update=2460 loss=0.102441 elapsed=1519.7s
H local_update=2470 loss=0.122108 elapsed=1525.8s
H local_update=2480 loss=0.159787 elapsed=1532.0s
