/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
L local_update=1220 loss=0.150912 elapsed=749.2s
L local_update=1230 loss=0.122546 elapsed=755.2s
L local_update=1240 loss=0.120969 elapsed=761.2s
L local_update=1250 loss=0.137365 elapsed=767.3s
L local_update=1260 loss=0.083479 elapsed=773.3s
L local_update=1270 loss=0.059390 elapsed=779.3s
L local_update=1280 loss=0.145566 elapsed=785.4s
L local_update=1290 loss=0.100670 elapsed=791.4s
L local_update=1300 loss=0.131549 elapsed=797.4s
L local_update=1310 loss=0.149228 elapsed=803.4s
L local_update=1320 loss=0.083216 elapsed=809.3s
L local_update=1330 loss=0.136287 elapsed=815.4s
L local_update=1340 loss=0.053458 elapsed=821.5s
L local_update=1350 loss=0.093774 elapsed=827.5s
L local_update=1360 loss=0.101477 elapsed=833.5s
L local_update=1370 loss=0.093385 elapsed=839.6s
L local_update=1380 loss=0.078461 elapsed=845.6s
L local_update=1390 loss=0.100597 elapsed=851.7s
L local_update=1400 loss=0.107612 elapsed=857.7s
L local_update=1410 loss=0.127438 elapsed=863.7s
L local_update=1420 loss=0.128734 elapsed=869.7s
L local_update=1430 loss=0.105525 elapsed=875.8s
L local_update=1440 loss=0.077316 elapsed=881.9s
L local_update=1450 loss=0.119182 elapsed=887.9s
L local_update=1460 loss=0.143861 elapsed=893.9s
L local_update=1470 loss=0.120461 elapsed=899.9s
L local_update=1480 loss=0.146575 elapsed=905.9s
L local_update=1490 loss=0.123698 elapsed=912.1s
L local_update=1500 loss=0.127592 elapsed=918.1s
L local_update=1510 loss=0.130022 elapsed=924.2s
L local_update=1520 loss=0.070262 elapsed=930.2s
L local_update=1530 loss=0.105406 elapsed=936.4s
L local_update=1540 loss=0.096484 elapsed=942.4s
L local_update=1550 loss=0.101726 elapsed=948.5s
L local_update=1560 loss=0.133718 elapsed=954.6s
L local_update=1570 loss=0.114347 elapsed=960.6s
L local_update=1580 loss=0.102001 elapsed=966.6s
L local_update=1590 loss=0.113801 elapsed=972.7s
L local_update=1600 loss=0.107202 elapsed=978.7s
L local_update=1610 loss=0.105774 elapsed=984.8s
L local_update=1620 loss=0.117670 elapsed=990.9s
L local_update=1630 loss=0.100713 elapsed=996.9s
L local_update=1640 loss=0.147416 elapsed=1003.0s
L local_update=1650 loss=0.117237 elapsed=1009.0s
L local_update=1660 loss=0.100352 elapsed=1015.1s
L local_update=1670 loss=0.117534 elapsed=1021.1s
L local_update=1680 loss=0.091481 elapsed=1027.1s
L local_update=1690 loss=0.138817 elapsed=1033.2s
L local_update=1700 loss=0.104212 elapsed=1039.2s
L local_update=1710 loss=0.111285 elapsed=1045.2s
L local_update=1720 loss=0.102305 elapsed=1051.3s
L local_update=1730 loss=0.107791 elapsed=1057.3s
L local_update=1740 loss=0.125105 elapsed=1063.4s
L local_update=1750 loss=0.105886 elapsed=1069.5s
L local_update=1760 loss=0.094684 elapsed=1075.5s
L local_update=1770 loss=0.127360 elapsed=1081.5s
L local_update=1780 loss=0.116992 elapsed=1087.5s
L local_update=1790 loss=0.116679 elapsed=1093.6s
L local_update=1800 loss=0.168382 elapsed=1099.7s
L local_update=1810 loss=0.063146 elapsed=1105.7s
L local_update=1820 loss=0.062102 elapsed=1111.7s
L local_update=1830 loss=0.081274 elapsed=1117.7s
L local_update=1840 loss=0.094559 elapsed=1123.7s
L local_update=1850 loss=0.145128 elapsed=1129.8s
L local_update=1860 loss=0.113775 elapsed=1135.9s
L local_update=1870 loss=0.074256 elapsed=1141.8s
L local_update=1880 loss=0.121095 elapsed=1147.9s
L local_update=1890 loss=0.113405 elapsed=1153.9s
L local_update=1900 loss=0.105540 elapsed=1159.9s
L local_update=1910 loss=0.155508 elapsed=1165.9s
L local_update=1920 loss=0.177796 elapsed=1172.1s
L local_update=1930 loss=0.100350 elapsed=1178.1s
L local_update=1940 loss=0.104210 elapsed=1184.1s
L local_update=1950 loss=0.080704 elapsed=1190.2s
