label,image_id,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,EfficientNet,SwAV
T1-53125,95,-0.14730070092317976,0.7127712097019462,83.56713426853707,100.0,95.89178356713427,99.6993987975952,0.4790673878138309,0.3101808687629967
T1-53125,204,0.3482494447551221,0.22014763959485012,95.49098196392785,85.67134268537075,95.39078156312624,86.57314629258516,0.9834593814320185,0.5126081779370589
T1-53125,318,0.08303418198401533,0.403324916304475,58.617234468937866,69.03807615230461,33.967935871743485,57.31462925851703,0.9263175692289751,0.5765472858156417
T1-53125,356,-0.10758728052071899,0.3692511030823901,58.11623246492986,55.811623246492985,12.525050100200401,96.59318637274549,0.999174450908312,0.621679960195952
T1-53125,425,-0.030214024565495483,0.19260940092600665,67.13426853707415,80.46092184368737,85.97194388777555,74.64929859719439,0.9309473376599551,0.66048645298793
T1-53125,458,-0.07636804873414639,0.17478202596301312,90.38076152304609,89.67935871743487,48.09619238476954,74.64929859719439,1.0054718014970079,0.546926158418277
T1-53125,637,-0.01731188506904892,0.3604836070680564,39.478957915831664,62.72545090180361,69.43887775551102,86.37274549098197,0.9014723870559087,0.6155254925560587
T1-53125,709,0.11546779902020694,0.2818243651135856,34.76953907815631,98.29659318637275,98.69739478957916,99.6993987975952,0.4746505534362868,0.5724929925567351
T1-53125,868,-0.023644048932734613,0.07448969406806089,78.2565130260521,77.5551102204409,50.90180360721443,61.923847695390776,1.016632871381682,0.5947828685337179
T1-53125,1015,-0.16593066930957204,0.48266078188408723,49.69939879759519,43.48697394789579,94.0881763527054,91.28256513026054,0.5491567411497911,0.5158364575268146
T1-53125,1288,0.4694743703201192,0.40864841911015737,96.69338677354709,98.09619238476954,81.1623246492986,92.08416833667334,0.8893724543756876,0.45910878932643434
T1-53125,1589,0.006777996193772569,0.270453064094469,79.05811623246493,65.7314629258517,96.99398797595191,72.84569138276552,0.7314879148109129,0.4546860831781315
T1-53125,1744,0.4680087968242663,0.44800022444208343,77.8557114228457,79.35871743486973,60.62124248496994,53.30661322645291,0.98741621400533,0.5192740957978229
T1-53125,1818,-0.19270969807515576,0.09381304015137558,57.11422845691383,47.394789579158314,37.07414829659319,66.33266533066131,1.0435502894156303,0.6368431491355817
T1-53125,2070,-0.030145129489604242,0.22403326354992026,85.87174348697394,67.13426853707415,96.79358717434869,71.7434869739479,0.6200526192040169,0.4706340453816548
