image_id,candidate,PixCorr,SSIM,AlexNet2,AlexNet5,Inception,CLIP_identification,EfficientNet,SwAV
95,0,-0.006786746294155136,0.623823472038243,86.97394789579158,98.99799599198397,92.58517034068137,97.1943887775551,0.6400533783957053,0.37867630965943955
95,1,-0.1858726853378958,0.5629945198064219,91.78356713426854,98.99799599198397,96.79358717434869,90.5811623246493,0.5763209488100532,0.42945975178843143
204,0,-0.06978653481308648,0.11976899409963714,51.703406813627254,97.39478957915831,93.18637274549098,91.38276553106212,0.8097174636276594,0.4250300776915432
204,1,0.1276792655796496,0.1996090801374337,75.75150300601202,91.78356713426854,85.37074148296593,67.53507014028057,1.0034449439180304,0.5039879900533055
318,0,-0.1954164070600928,0.3228489362288961,29.859719438877757,65.13026052104209,7.214428857715431,93.5871743486974,0.9657935585352133,0.639088561719307
318,1,-0.08182473735205488,0.33607765204060813,70.54108216432866,86.17234468937876,29.058116232464933,97.79559118236473,0.9115466219761652,0.6735249127165365
356,0,0.04517769318947721,0.3156438267481627,71.34268537074149,95.39078156312625,49.498997995991985,87.97595190380761,0.9698896837902371,0.7543069186141256
356,1,0.09525004837049657,0.31337484718975184,30.460921843687377,76.55310621242485,83.16633266533067,92.18436873747495,0.9669090779172596,0.7514388678870425
425,0,-0.2775994016223833,0.15522541212213567,64.12825651302605,94.38877755511022,67.73547094188376,74.74949899799599,0.8234223847054346,0.725596692889458
425,1,0.15318549840182416,0.19132312284526437,42.68537074148296,68.33667334669339,11.422845691382765,96.19238476953907,0.9758061628677409,0.6659515861435028
458,0,-0.05824290346823115,0.23700086322569516,91.38276553106212,84.5691382765531,78.3567134268537,19.03807615230461,0.9323503040790999,0.5669459145268272
458,1,-0.07946514615288358,0.131152902958692,75.95190380761522,79.75951903807615,98.19639278557113,70.34068136272545,0.9163775830865186,0.5431919800713514
637,0,0.027290112720943536,0.380503914382485,88.57715430861724,85.17034068136272,96.59318637274549,55.51102204408818,0.9279912436295613,0.5331397065818839
637,1,0.09899743604654657,0.38190702735212834,90.78156312625251,76.15230460921843,43.48697394789579,40.08016032064128,0.9675754979913069,0.6138945917913723
709,0,-0.05774896742213427,0.22694830159323393,62.32464929859719,99.39879759519037,98.79759519038076,100.0,0.4928254331310109,0.5181222412426825
709,1,0.05317086247394129,0.31846792897627546,13.226452905811623,98.99799599198397,98.59719438877755,99.59919839679358,0.44583387989110046,0.5278162387832868
868,0,-0.0339695440361201,0.07944536048381212,51.703406813627254,63.126252505010015,66.33266533066133,27.054108216432866,1.0538128173992902,0.703354516243996
868,1,-0.006444045484667569,0.07215628308650422,87.97595190380761,91.38276553106212,12.224448897795591,73.74749498997996,1.0453784268068664,0.5875105870292652
1015,0,0.08296055330838722,0.5467618417177771,96.19238476953907,96.9939879759519,99.59919839679358,99.19839679358718,0.5069579079818258,0.4659080707279655
1015,1,-0.38149121680553616,0.5269189983151216,96.59318637274549,86.37274549098196,96.9939879759519,98.19639278557113,0.8096924063482366,0.5459723823004374
1288,0,0.30607172108147734,0.4104240479584859,91.18236472945893,83.96793587174348,80.7615230460922,71.34268537074149,1.0055830777398846,0.5348584033187722
1288,1,0.2392302666185773,0.3920119741054819,88.57715430861724,96.39278557114228,95.19038076152304,76.75350701402806,1.0194502898139903,0.43903927388134456
1589,0,-0.045488141368590425,0.148032937448052,88.97795591182364,52.104208416833664,90.78156312625251,96.59318637274549,0.7925881061903552,0.4485986481667916
1589,1,-0.03729359218096902,0.2554796566715845,75.75150300601202,65.93186372745491,98.79759519038076,58.31663326653307,0.7328677654367589,0.41903996331006677
1744,0,0.6656968186271649,0.42765397701407337,82.16432865731463,97.79559118236473,79.95991983967936,83.36673346693387,0.9222623673581147,0.42738980620758427
1744,1,0.6939031828817529,0.44372926074761376,88.77755511022045,75.95190380761522,59.318637274549104,20.240480961923847,0.9967318823469169,0.525302237635143
1818,0,-0.21027802071805213,0.0861623242840977,60.92184368737475,58.517034068136276,69.73947895791584,91.18236472945893,0.9387935491189192,0.6531396853016057
1818,1,0.002425613038597871,0.08680545839825855,45.89178356713427,51.703406813627254,29.659318637274552,60.320641282565134,0.9677253967988886,0.6262636817704639
2070,0,-0.059399691230455715,0.2348707536269231,16.83366733466934,67.73547094188376,83.36673346693387,52.505010020040075,0.9744920542934,0.6107167486627039
2070,1,0.11835014604034619,0.19433109791612646,69.73947895791584,74.74949899799599,75.95190380761522,78.55711422845691,0.8769887665054731,0.47441050636475923
2125,0,0.01608480659120109,0.25135286865098644,48.09619238476954,90.78156312625251,68.13627254509018,86.17234468937876,0.8733657099372519,0.39385890280355773
2125,1,-0.17031317510439192,0.3492451847016494,32.26452905811623,62.725450901803605,99.19839679358718,75.35070140280561,0.8567191009198488,0.5029700906542596
2327,0,0.24439963230483472,0.4105005552845485,22.84569138276553,34.06813627254509,62.925851703406806,73.74749498997996,0.9740109747293221,0.6751991062765312
2327,1,-0.18562413329598876,0.3621890469403005,2.6052104208416833,58.116232464929865,57.91583166332666,58.91783567134269,1.032569166210869,0.7006368978880507
2737,0,-0.048336966636815214,0.1348471951089146,73.54709418837675,97.59519038076152,99.59919839679358,96.9939879759519,0.7212137163595751,0.48333215225672665
2737,1,0.029097684029598017,0.14338422711385526,87.374749498998,94.38877755511022,100.0,95.79158316633266,0.5771490219900521,0.3982624065067276
2795,0,-0.02165296600023605,0.2126628403948564,48.49699398797595,76.35270541082164,83.96793587174348,96.59318637274549,0.9111125567811166,0.5518858459951355
2795,1,0.007855564648813049,0.24181111351462478,54.70941883767535,100.0,75.95190380761522,97.99599198396794,0.9326947598851039,0.5025247646673208
2980,0,-0.012672156371930168,0.10250792891698055,16.432865731462925,83.96793587174348,87.5751503006012,96.39278557114228,0.8582188834125801,0.6858464894867982
2980,1,0.01188097361519089,0.062382136821745704,99.19839679358718,99.19839679358718,97.99599198396794,100.0,0.616780155486068,0.380898348110829
3338,0,0.14348206628671847,0.2590207163565726,85.97194388777555,70.74148296593187,55.31062124248497,64.32865731462925,0.8820531575800129,0.6396518792852965
3338,1,0.2380156085457679,0.2598679855586861,78.15631262525051,83.56713426853707,10.02004008016032,19.238476953907817,0.9886872046358312,0.5755806384457476
3344,0,-0.07915148776249498,0.2594380734754613,12.024048096192384,20.440881763527056,26.853707414829657,20.240480961923847,0.955912309333146,0.6496950072826739
